EDRPOU,eotype,eolevel,teachstuff,nonteachstuff,teachstuffretage,pupils,classes,opex,opexplan,hub,year
35469750,urban,I-III,28,27,5,233,11,8698.2,8841.6,no,2019
24900915,rural,I-III,21,19,3,133,11,5265,5382,no,2019
35469702,rural,I-III,21,20,1,108,11,4245,4428,no,2019
35469587,rural,I-III,15,11,0,72,9,2578,2818,no,2019
35469723,rural,I-III,30,23,1,108,14,4557,4368.1,no,2019
34377380,rural,I-III,27,23,3,134,11,4966,5650,no,2019
35469456,rural,I-III,19,18,2,159,11,5825,5776,no,2019
34377349,rural,I-III,40,24,1,247,19,9021.8,8496,yes,2019
35469647,rural,I-III,39,25,2,368,20,13174.6,14868.2,no,2019
20095416,rural,I-III,20,12,3,116,11,4794,4867,no,2019
35469498,rural,I-III,24,11,6,144,11,5537.6,5518.2,no,2019
34377679,rural,I-III,22,21,2,107,11,4368,4630,no,2019
35469519,rural,I-III,17,15,1,101,11,3931,3943,no,2019
13312511,rural,I-III,32,34,6,155,11,6186,7064,no,2019
35469660,rural,I-III,20,14,3,88,11,3469.8,3458.2,no,2019
34377473,rural,I-III,20,16,1,63,9,2558,2520,no,2019
34377587,rural,I-III,21,17,1,87,11,3535,3504,no,2019
34377616,rural,I-III,17,13,0,54,8,2365,2312.2,no,2019
24894752,rural,I-III,22,17,1,64,11,2869,3144,no,2019
35469613,rural,I-III,21,16,1,122,11,4865.6,5006.2,no,2019
26223393,rural,I-III,15,13,3,72,10,3625.307,4159.7,no,2019
26223401,rural,I-III,19,12,3,85,10,4113.6,4712.6,no,2019
26229295,rural,I-III,22,18,6,151,11,5501.5,6897.837,no,2019
26223312,rural,I-III,40,29,7,379,20,9268.3,10436.3,yes,2019
26224205,rural,I-III,36,27,1,310,18,8514.5,9913.1,yes,2019
26222655,rural,I-III,23,14,4,152,11,4900.3,6104.3,no,2019
20103727,urban,I-III,69,32,13,772,31,15307.6,17146.7,yes,2019
23107383,urban,I-III,51,31,13,538,23,13156.2,14894.5,yes,2019
26223565,rural,I-III,19,12,3,87,10,4197.7,4809.4,no,2019
26223418,rural,I-III,19,10,1,86,11,3939.5,4426.5,no,2019
26223654,rural,I-III,17,13,2,61,8,3744.6,4221.4,no,2019
26243763,rural,I-III,17,13,2,95,11,3429.6,3770.1,no,2019
26243898,rural,I-III,25,20,1,206,13,5507.5,5673.7,no,2019
26243817,rural,I-III,22,18,5,174,10,4798.8,5075.6,no,2019
26245495,rural,I-III,12,13,0,49,6,2496.2,2788.9,no,2019
26243711,rural,I-III,12,11,2,65,9,2715.5,2824.2,no,2019
41865886,urban,I-III,44,28,5,363,19,8757.4,13128.3,no,2019
21724110,urban,I-III,63,27,7,633,29,12159.6,13465.9,yes,2019
21727539,urban,I-III,29,18,5,155,11,4814.7,5118.8,no,2019
26243830,rural,I-III,20,16,1,82,9,3921.1,4052.2,yes,2019
21724104,urban,I-III,37,22,5,392,19,7674.8,8414.7,no,2019
21723820,urban,I-III,46,20,5,478,21,8362.2,9179.6,no,2019
26244432,rural,I-III,24,24,6,261,20,9256.275,9497.782,yes,2019
26224487,rural,I-III,18,12,1,106,11,4091.049,4228.55,no,2019
26227824,rural,I-III,20,13,0,173,11,4230.78,4475.562,no,2019
26234557,rural,I-III,21,18,3,98,10,4729.161,4958.35,no,2019
25509791,rural,I-III,24,16,3,142,11,4621.201,4866.559,no,2019
26223660,rural,I-III,19,13,1,109,11,4317.64,4426.512,no,2019
26224493,rural,I-III,21,14,4,141,11,4220.706,4768.881,no,2019
26234114,rural,I-III,18,10,0,89,10,4349.6,4664.768,no,2019
26228574,rural,I-III,20,12,1,92,10,4338.72,4573.952,no,2019
26228539,rural,I-III,21,14,2,186,11,4752.25,4880.527,no,2019
26229088,rural,I-III,28,15,9,195,11,5288.82,5424.77,no,2019
26224470,rural,I-III,19,14,5,98,10,3958.72,4099.727,no,2019
26243065,rural,I-III,18,11,1,71,10,4169.3,4308.759,no,2019
26224398,rural,I-III,22,17,3,245,12,5529.097,5806.8,no,2019
26228568,rural,I-III,20,13,6,72,10,4255.94,4424.553,no,2019
26220064,rural,I-III,15,5,3,46,7,2550.914,2589.952,no,2019
26176432,rural,I-III,18,10,3,78,9,3535.152,3726.386,no,2019
26220437,rural,I-III,19,22,2,124,11,4922.507,5221.184,no,2019
26223364,rural,I-III,24,18,3,165,11,4430.978,4694.517,no,2019
26220393,rural,I-III,18,14,1,81,10,4331.586,4703.127,no,2019
26220124,rural,I-III,19,17,0,104,11,3588.322,4103.427,no,2019
26176564,rural,I-III,20,13,0,74,11,3991.157,4334.542,no,2019
26176481,rural,I-III,17,10,4,79,9,3048.307,3238.173,no,2019
26223370,rural,I-III,19,17,3,146,11,4072.076,4500.881,no,2019
26176400,rural,I-III,11,8,3,48,6,2519.504,2711.583,no,2019
20096930,rural,I-III,25,17,1,133,11,4616.477,5048.981,no,2019
26219693,urban,I-III,37,26,0,364,19,8935.236,9231.277,no,2019
26336223,rural,I-III,23,15,1,144,11,4595.6,4861.1,no,2019
26336246,rural,I-III,18,7,6,56,8,3173.7,3887.1,no,2019
21724529,rural,I-III,22,13,4,144,11,4349,4841.7,no,2019
26336235,rural,I-III,14,7,3,54,6,2932.2,3250.1,no,2019
26336200,rural,I-III,13,7,2,53,7,2472.6,3064.2,no,2019
25501855,rural,I-III,16,14,1,52,6,4396.4,4748.9,no,2019
26336252,rural,I-III,18,11,1,162,11,4390.8,4848.4,no,2019
26336192,urban,I-III,27,13,3,260,14,5983.5,6132.8,no,2019
26336186,rural,I-III,14,13,0,59,11,3153.3,3887.4,no,2019
25502487,urban,I-III,40,22,6,382,18,8579.2,9566,yes,2019
25504061,rural,I-III,23,15,4,184,11,5019.8,5044.2,no,2019
26336217,rural,I-III,17,11,6,63,8,3580.4,3638.7,no,2019
25946184,rural,I-III,16,13,1,87,10,3569.131,3581.31,no,2019
26227942,rural,I-III,19,15,2,96,10,3976.512,3990.082,no,2019
26224317,rural,I-III,21,19,0,145,10,4152.796,4166.967,no,2019
26228605,rural,I-III,16,14,3,63,6,3651.573,3664.034,no,2019
25845974,rural,I-III,18,18,2,100,10,4248.809,4263.308,no,2019
26227876,rural,I-III,19,13,1,84,8,3230.751,3241.776,no,2019
26227847,rural,I-III,16,15,2,81,9,3597.636,3609.913,no,2019
26227971,rural,I-III,14,8,4,33,3,2357.901,2365.947,no,2019
26142200,rural,I-III,20,10,1,173,11,4949.6,4727.27,yes,2019
26222873,rural,I-III,16,10,2,123,11,3882.7,4254.407,no,2019
26222933,rural,I-III,16,9,1,60,7,3492.4,3510.53,no,2019
26222896,rural,I-III,24,16,3,141,13,5348,5820.646,yes,2019
26222927,rural,I-III,11,6,1,28,3,2293.1,2280.045,no,2019
26222884,rural,I-III,17,9,1,138,11,3766.5,4452.38,no,2019
26222867,rural,I-III,15,7,1,69,10,3496.1,3758.619,no,2019
26222809,rural,I-III,21,10,3,96,9,4231.9,4226.365,yes,2019
26031185,urban,I-III,33,20,4,408,19,8138.4,8324.1,no,2019
38460152,urban,I-III,32,16,5,277,15,7016.5,6640.3,no,2019
35150667,rural,I-III,20,9,7,135,11,4096.6,4083.3,no,2019
25888512,rural,I-III,21,14,3,195,11,4739.3,4752.8,yes,2019
35150633,rural,I-III,11,4,0,50,5,2463.1,2458.5,no,2019
35150591,rural,I-III,17,9,4,61,7,3049.6,3069.1,no,2019
35150722,rural,I-III,21,9,6,90,11,4041,4012.6,no,2019
35150654,urban,I-III,19,14,4,132,11,4569.7,4567.7,no,2019
21726586,rural,I-III,18,7,1,80,11,3493.502,3477.2540000000004,no,2019
24895711,urban,I-III,134,83,18,1009,54,26552,30931.2,yes,2019
26219760,urban,I-III,45,26,9,382,20,10615,11168.4,no,2019
26219865,rural,I-III,14,11,1,54,5,3267,3447.9,no,2019
26220213,rural,I-III,17,14,5,86,11,3606.2,3925,no,2019
26176601,rural,I-III,21,13,2,143,10,4086,4316,no,2019
26219813,rural,I-III,22,17,3,98,11,4402,4743,no,2019
26176647,rural,I-III,17,16,1,94,10,4018,4425,no,2019
26219824,rural,I-III,9,11,2,32,4,2306,2495,no,2019
26176104,rural,I-III,21,12,1,103,10,3503,3839,no,2019
26220420,rural,I-III,20,14,3,115,11,4448.7,4795,no,2019
26219954,rural,I-III,19,14,0,81,10,4053.6,4235,no,2019
26234824,rural,I-III,20,12,4,92,11,3778.692,3672.738,no,2019
26234801,rural,I-III,14,10,1,47,7,2490.792,2489.702,no,2019
26234793,rural,I-III,22,14,2,195,11,4496.074,4580.167,no,2019
21723955,urban,I-III,42,24,14,489,22,11217.599999999999,10929.5,no,2019
26233991,rural,I-III,21,17,3,227,11,4983,5471.1,no,2019
21727077,rural,I-III,29,19,3,237,13,5983.8,5820.3,no,2019
21724156,urban,I-III,38,24,6,420,20,9595,10056,no,2019
26242095,rural,I-III,19,20,6,146,10,4835,4792.7,no,2019
26233919,rural,I-III,22,12,4,155,11,3937,4209.3,no,2019
26234014,rural,I-III,18,15,4,175,11,4623.2,4621.1,no,2019
