eoname,KOATUU_2020,id,Код ЄДРПОУ,url,title_opendatabot
"Новоселівський навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступенів-дошкільний навчальний заклад"" Олександрійської районної ради",3520383701,новоселвськийнавчальновиховнийкомплексзагальноосвтняшкола3ступенвдошкльнийнавчальнийзакладолександрйськорайоноради,,https://opendatabot.ua/c/35160463,"Новоселівський навчально-виховний комплекс ""ЗАГАЛЬНООСВІТНЯ ШКОЛА I-II СТУПЕНІВ - ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД"" ВЕЛИКОМИХАЙЛІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ПОКРОВСЬКОГО РАЙОНУ ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ Код ЄДРПОУ 35160463 — Опендатабот"
"Жемчужненський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад "" Юр'ївської районної ради Дніпропетровської області",1225955110,жемчужненськийнавчальновиховнийкомплексзагальноосвтняшкола3ступенвдошкльнийнавчальнийзакладюрвськорайонорадиднпропетровськообласт,,https://opendatabot.ua/c/35061533,Шандрівський ліцей перещепинської міської ради новомосковського району дніпропетровської області Код ЄДРПОУ 35061533 — Опендатабот
Загальноосвітня школа І-ІІІ ступеня села Раків Ліс Камінь-Каширського району Волинської області,721486601,загальноосвтняшкола3ступеняселараквлскамнькаширськогорайонуволинськообласт,,https://opendatabot.ua/c/25086617,Загальноосвітня школа і-ііі ступенів с.раків ліс камінь-каширського району волинської області Код ЄДРПОУ 25086617 — Опендатабот
Маркопільська загальноосвітня школа І-ІІІ ступенів Бродівської районної ради Львівської області,4620380801,маркопльськазагальноосвтняшкола3ступенвбродвськорайонорадильввськообласт,,https://opendatabot.ua/c/22421311,Маркопільський заклад загальної середньої освіти і-ііі ступенів з дошкільним підрозділом підкамінської селищної ради львівської області Код ЄДРПОУ 22421311 — Опендатабот
Більшівцівська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області,2621255300,бльшвцвськазагальноосвтняшкола3ступенвгалицькорайонорадиванофранквськообласт,,https://opendatabot.ua/c/23804729,Більшівцівський ліцей більшівцівської селищної ради івано-франківської області Код ЄДРПОУ 23804729 — Опендатабот
"Зеленський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" Верховинської районної ради Івано-Франківської області",2620884001,зеленськийнавчальновиховнийкомплексзагальноосвтняшкола3ступенвдошкльнийнавчальнийзакладверховинськорайонорадиванофранквськообласт,,https://opendatabot.ua/c/20558448,Зеленський ліцей зеленської сільської ради Код ЄДРПОУ 20558448 — Опендатабот
Красносілківська загальноосвітня школа І-ІІІ ступенів Олександрівської районної державної адміністрації,3520583501,краснослквськазагальноосвтняшкола3ступенволександрвськорайонодержавноадмнстрац,,https://opendatabot.ua/c/20654488,Красносілківська загальноосвітня школа i-iii ступенів олександрівської районної державної адміністрації кіровоградської області Код ЄДРПОУ 20654488 — Опендатабот
Загальноосвітня школа І-ІІІ ступеня с. Велицьк Ковельського району Волинської області,722181201,загальноосвтняшкола3ступеняселавелицькковельськогорайонуволинськообласт,,https://opendatabot.ua/c/20141464,"Опорний заклад загальної середньої освіти ""ЛІЦЕЙ СЕЛА ВЕЛИЦЬК КОВЕЛЬСЬКОГО РАЙОНУ ВОЛИНСЬКОЇ ОБЛАСТІ"" Код ЄДРПОУ 20141464 — Опендатабот"
Київський професійний ліцей транспорту,8036600000,кивськийпрофесйнийлцейтранспорту,,https://opendatabot.ua/c/02544555,Київський професійний ліцей транспорту Код ЄДРПОУ 02544555 — Опендатабот
Малошпаківська ЗОШ І-ІІІ ступенів Рівненської районної ради Рівненської  області,5624684111,малошпаквськазагальнооосвтняшкола3ступенврвненськорайонорадирвненськообласт,,https://opendatabot.ua/c/25315578,"Опорний заклад ""МАЛОШПАКІВСЬКИЙ ЛІЦЕЙ ДЯДЬКОВИЦЬКОЇ СІЛЬСЬКОЇ РАДИ РІВНЕНСЬКОГО РАЙОНУ РІВНЕНСЬКОЇ ОБЛАСТІ"" Код ЄДРПОУ 25315578 — Опендатабот"
