eoname,link,edrpou
"Гімназія ""Троєщина"" ІІ-ІІІ ступеня Деснянського району м. Києва",https://opendatabot.ua/c/22906267,22906267
Стебницька загальноосвітня школа І-ІІІ ступенів №11 Дрогобицької міської ради Львівської області,https://opendatabot.ua/c/22410000,22410000
"Іршанський навчально-виховний комплекс ""Гімназія-дошкільний навчальний заклад"" Володарськ-Волинського району Житомирської області",https://opendatabot.ua/c/34152556,34152556
Городнянська загальноосвітня школа I-III ступенів № 2 Городнянської районної ради Чернігівської області,https://opendatabot.ua/c/21393512,21393512
"Комунальний заклад ""Березнівський ліцей-інтернат спортивного профілю"" Березнівської районної ради Рівненської області",https://opendatabot.ua/c/26406604,26406604
"Підмихайлівський навчально-виховний комплекс І-ІІІ ступенів Калуської районної ради Івано-Франківської області
",https://opendatabot.ua/c/20565321,20565321
Криворізький гуманітарно-технічний ліцей № 129 Криворізької міської ради Дніпропетровської області,https://opendatabot.ua/c/26047217,26047217
Загальноосвітня школа I-III ступенів смт.Оратів,https://opendatabot.ua/c/23105925,23105925
Зіболківська загальноосвітня школа І-ІІІ ступенів Жовківської районної ради,https://opendatabot.ua/c/22356743,22356743
Буська загальноосвітня школа І-ІІІ ступенів №1 Буської районної ради Львівської області,https://opendatabot.ua/c/22342385,22342385
Великобубнівська загальноосвітня школа I-III ступенів Роменської районної ради Сумської області,https://opendatabot.ua/c/23999437,23999437
"Криворізький навчально-виховний комплекс №35 ""Загальноосвітня школа І-ІІІ ступенів - багатопрофільний ліцей ""Імпульс""",https://opendatabot.ua/c/33355502,33355502
Привільненська загальноосвітня школа I-III ступеня Баштанської районної ради Миколаївської області,https://opendatabot.ua/c/31529034,31529034
"Рудня-Почаївський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів-дошкільний навчальний заклад"" Радивилівської районної ради Рівненської області",https://opendatabot.ua/c/25320319,25320319
Новоюлівська загальноосвітня школа І - ІІІ ступенів Софіївської районної ради Дніпропетровської області,https://opendatabot.ua/c/26238845,26238845
Київський обласний ліцей-інтернат фізичної культури і спорту,https://opendatabot.ua/c/23568329,23568329
"Комунальний заклад ""Запорізька спеціалізована загальноосвітня школа- інтернат спортивного профілю"" Запорізької обласної ради",https://opendatabot.ua/c/26530675,26530675
"Навчально-виховний комплекс ""Середня загальноосвітня школа - гімназія"" м.Перемишляни Перемишлянської районної ради Львівської області",https://opendatabot.ua/c/22367540,22367540
Микулинецька загальноосвітня школа І-ІІІ ступенів,https://opendatabot.ua/c/21163427,21163427
Вергунівська загальноосвітня школа І-ІІІ ступенів Черкаської районної ради Черкаської області,https://opendatabot.ua/c/24354748,24354748
"Загальноосвітній навчальний приватний заклад ""Хореографічна гімназія ""Кияночка""",https://opendatabot.ua/c/30470891,30470891
Іллічівська гімназія №1 Іллічівської міської ради Одеської області,https://opendatabot.ua/c/25026176,25026176
Банилово-Підгірнівська гімназія Банилово-Підгірнівської сільської ради Сторожинецького району Чернівецької області,https://opendatabot.ua/c/21440401,21440401
"Навчально-виховний комплекс ""Ридомильська загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад""",https://opendatabot.ua/c/23591080,23591080
"Новосамарська загальноосвітня школа I-III ступенів Красноокнянського району
",https://opendatabot.ua/c/34254309,34254309
Новоборівський загальноосвітній навчальний заклад I-III ступенів -ліцей,https://opendatabot.ua/c/39394285,39394285
Вовковинецька загальноосвітня школа I-III ступенів Деражнянської районної ради Хмельницької області,https://opendatabot.ua/c/22988851,22988851
Великочернігівська загальноосвітня школа I-III ступенів Овруцького району Житомирської області,https://opendatabot.ua/c/06670629,6670629
Кам'янський еколого-економічний ліцей Кам'янської районної ради Черкаської області,https://opendatabot.ua/c/26491125,26491125
Комунальний заклад Товстолузька загальноосвітня школа І-ІІІ ступенів Тернопільської районної ради Тернопільської області,https://opendatabot.ua/c/24627198,24627198
Шрамківська загальноосвітня школа І-ІІІ ступенів Драбівської районної ради,https://opendatabot.ua/c/24353469,24353469
Михальчанська загальноосвітня школа І-ІІІ ступенів Михальчанської сільської ради Сторожинецького району Чернівецької області,https://opendatabot.ua/c/21439834,21439834
Загальноосвітня школа І-ІІІ ступенів № 1 Комсомольської міської ради Полтавської області,https://opendatabot.ua/c/23545541,23545541
Косівщинська загальноосвітня школа І-ІІІ ступенів імені Лесі Українки Сумської районної ради Сумської області,https://opendatabot.ua/c/33361935,33361935
Часовоярська загальноосвітня школа I-III ступенів №15 Артемівської міської ради Донецької області,https://opendatabot.ua/c/20382475,20382475
Курахівська загальноосвітня школа І - ІІІ ступенів №5 Мар'їнської районної ради Донецької області,https://opendatabot.ua/c/25689356,25689356
Молодківська загальноосвітня школа І-ІІІ ступенів Надвірнянської районної ради,https://opendatabot.ua/c/22192661,22192661
"Приватний загальноосвітній навчальний заклад - гімназія ""Престиж""",https://opendatabot.ua/c/32212162,32212162
Корюківська гімназія Корюківської районної ради Чернігівської області,https://opendatabot.ua/c/31461893,31461893
"Комунальний заклад освіти ""Середня загальноосвітня школа № 81"" Дніпропетровської міської ради",https://opendatabot.ua/c/26461135,26461135
Чернігівський обласний педагогічний ліцей для обдарованої сільської молоді Чернігівської обласної ради,https://opendatabot.ua/c/21408219,21408219
Новобогданівська загальноосвітня школа I-III ступенів Мелітопольської районної ради Запорізької області,https://opendatabot.ua/c/26372963,26372963
Кременчуцька загальноосвітня школа І-ІІІ ступенів № 17 Вибір імені М.Г.Неленя Кременчуцької міської ради Полтавської області,https://opendatabot.ua/c/22538987,22538987
"Заклад ""Загальноосвітня школа I-III ступенів №11 Вінницької міської ради""",https://opendatabot.ua/c/26176268,26176268
Новогригорівська загальноосвітня школа I-III ступенів Вознесенської районної ради Миколаївської області,https://opendatabot.ua/c/26118064,26118064
Добропільська загальноосвітня школа-інтернат І-ІІІ ступенів Добропільської міської ради Донецької області,https://opendatabot.ua/c/25116347,25116347
"Комунальний заклад освіти ""Спеціалізована школа № 129 фізико-математичного профілю"" Дніпропетровської міської ради",https://opendatabot.ua/c/33109452,33109452
Степанівська загальноосвітня школа I-III ступенів № 1 Сумської районної ради Сумської області,https://opendatabot.ua/c/33362064,33362064
Терешківська загальноосвітня школа І-ІІІ ступенів Полтавської районної ради Полтавської області,https://opendatabot.ua/c/23545191,23545191
Горинська загальноосвітня школа І-ІІІ ступенів,https://opendatabot.ua/c/21136092,21136092
"Комунальний заклад освіти ""Середня загальноосвітня школа № 64"" Дніпропетровської міської ради",https://opendatabot.ua/c/26460302,26460302
Сагунівська загальноосвітня школа І-ІІІ ступенів Черкаської районної ради Черкаської області,https://opendatabot.ua/c/24354837,24354837
"Соснівський навчально-виховний комплекс ""Гімназія - загальноосвітня школа І ступеня"" Березнівської районної ради Рівненської області",https://opendatabot.ua/c/22569226,22569226
Білицька загальноосвітня школа I-III ступенів №8 Добропільської міської ради Донецької області,https://opendatabot.ua/c/25702335,25702335
"Санаторно-оздоровчий центр соціальної реабілітації ""Смарагдове місто""",https://opendatabot.ua/c/23354172,23354172
Бучанська загальноосвітня школа І-ІІІ ступенів №3,https://opendatabot.ua/c/25897592,25897592
"Сергіївська загальноосвітня школа І-ІІІ ступенів, Слов'янської районної ради Донецької області",https://opendatabot.ua/c/30378181,30378181
Червоноплугатарська загальноосвітня школа I-III ступенів Талалаївської районної ради Чернігівської області,https://opendatabot.ua/c/25571732,25571732
Долинський природничо-математичний ліцей,https://opendatabot.ua/c/20556426,20556426
Розквітівська загальноосвітня школа I-III ступенів Березівської районної ради,https://opendatabot.ua/c/24767315,24767315
