eoname,KOATUU_2020,KOATUU_2020_reg,year,id,EDRPOU,to_change
Дніпропетровський регіональний центр професійно-технічної освіти (корпус №1),1210136600,12,[2018],днпропетровськийрегональнийцентрпрофесйнотехнчнаосвт,05536076,
"ДПТНЗ ""Дніпровський регіональний центр професійно-технічної освіти"" (корпус №2)",1210137800,12,[2018],дптнзднпровськийрегональнийцентрпрофесйнотехнчнаосвт,05536076,
Коростишівський професійний аграрний ліцей. Спеціалізоване відділення №1,1820310100,18,"[2021, 2022]",коростишвськийпрофесйнийаграрнийлцейспецалзованевддленя1,05536413,
Коростишівський професійний аграрний ліцей,1822510100,18,"[2018, 2019, 2020, 2021, 2022, 2023]",коростишвськийпрофесйнийаграрнийлце,05536413,
Коростишівський професійний аграрний ліцей. Спеціалізоване відділення №2,1825888201,18,[2021],коростишвськийпрофесйнийаграрнийлцейспецалзованевддленя2,05536413,
"Державний професійно-технічний навчальний заклад ""Миколаївський професійний ліцей""",4623010100,46,"[2019, 2020, 2021, 2022, 2023]",державнийпрофесйнотехнчнийнавчальнийзакладмиколавськийпрофесйнийлце,05536975,
Миколаївський професійний ліцей,4810137200,48,"[2018, 2019, 2020]",миколавськийпрофесйнийлце,05536975,05537242
"Державний навчальний заклад ""Охтирський центр професійно-технічної освіти""",5910200000,59,[2023],охтирськийцентрпрофесйнотехнчнаосвт,05537561,
"Державний навчальнй заклад ""Охтирський центр професійно-технічної освіти""",5910200000,59,"[2018, 2019, 2020, 2021, 2022]",державнийнавчальнйзакладохтирськийцентрпрофесйнотехнчнаосвт,05537561,
"Філія Державного навчального закладу ""Охтирський центр професійно-технічної освіти""",5921255100,59,"[2018, 2019, 2020, 2021, 2022]",флядержавногонавчальногозакладуохтирськийцентрпрофесйнотехнчнаосвт,05537561,21124953
"Філія державного навчального закладу""Охтирський центр професійно-технічної освіти"" смт Велика Писарівка",5921255100,59,[2023],флядержавногонавчальногозакладуохтирськийцентрпрофесйнотехнчнаосвтисмтвеликаписарвк,05537561,21124953
"Державний навчальний заклад ""Охтирський центр професійно-технічної освіти"" відокремлений навчальний підрозділ м.Тростянець",5925010100,59,"[2018, 2019, 2020, 2021, 2022]",охтирськийцентрпрофесйнотехнчнаосвтивдокремленийнавчальнийпдроздлмтростянец,05537561,
Овруцька загальноосвітня школа I-III ступенів №4 Житомирської області,1824210100,18,"[2016, 2017]",овруцьказагальноосвтняшкола3ступ4житомирськаобл,06670581,
Овруцька загальноосвітня школа I-III ступенів №4 Овруцької міської ради Житомирської області,1824210100,18,[2018],овруцьказагальноосвтняшкола3ступ4овруцькажитомирськаобл,06670581,
Овруцький ліцей №3 Овруцької міської ради Житомирської області,1824210100,18,[2022],овруцькийлцей3овруцькажитомирськаобл,06670581,06670575
Овруцький ліцей №4 Овруцької міської ради,1824210100,18,"[2022, 2023]",овруцькийлцей4овруцькао,06670581,
"Опорний заклад освіти ""Овруцький заклад загальної середньої освіти І-ІІІ ступенів №4"" Овруцької міської ради Житомирської області",1824210100,18,"[2019, 2020, 2021]",опорнийзакладосвтиовруцькийзакладзагальнасередньаосвти3ступ4овруцькажитомирськаобл,06670581,
Гошівська загальноосвітня школа I-III ступенів Овруцького району Житомирської області,1824210114,18,[2016],гошвськазагальноосвтняшкола3ступжитомирськаобл,06670658,
Гошівська загальноосвітня школа I-III ступенів імені Анатолія Максимовича Барановського Овруцької міської ради Житомирської області,1824210114,18,[2018],гошвськазагальноосвтняшкола3ступменанатолямаксимовичабарановськогоовруцькажитомирськаобл,06670658,
Гошівська загальноосвітня школа I-III ступенів,2622081101,26,"[2016, 2017]",гошвськазагальноосвтняшкола3ступен,06670658,20565738
Житомирська виправна колонія управління Державного департаменту України з питань виконання покарань у Житомирській області (№4),1810136600,18,"[2016, 2022]",житомирськавиправнаколоняуправлнядержавногодепартаментуукранизпитаньвиконаняпокараньужитомирськйобл,08563369,08563323
