eoname,KOATUU_2020,KOATUU_2020_reg,year,id,EDRPOU
Загальноосвітня школа I-III ступенів №1 с. Пиків Калинівського району Вінницької області,0521686303,05,"[2020, 2021]",загальноосвтняшкола2ступ1спикввницькаобл,21728970
Загальноосвітня школа I-III ступенів №2 с.Пиків,0521686303,05,"[2016, 2017, 2018, 2019]",загальноосвтняшкола2ступ2спик,21728970
Ліцей №1 смт Крижопіль Крижопільської селищної ради,0521955100,05,[2023],лцей1смткрижоплькрижопльськао,20103727
Середня загальноосвітня школа І-ІІІ ступенів №1 ім Героя Радянського Союзу О.А.Бичковського смт Крижопіль Вінницька область,0521955100,05,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",середнязагальноосвтняшкола2ступ1мгероярадянськогосоюзуоабичковськогосмткрижопльвницькаобл,20103727
Крикливецька філія ліцею №1 смт Крижопіль Крижопільської селищної ради,0521984401,05,[2023],крикливецькафлялцею1смткрижоплькрижопльськао,20103727
Опорний заклад загальної середньої освіти І-ІІІ ступенів с. Багринівці Літинської селищної ради Вінницької області,0522480401,05,"[2022, 2023]",опорнийзакладзагальнасередньаосвти2ступсбагринвцлтинськавницькаобл,26244432
Опорний заклад середньої загальної освіти І-ІІІ ст. с. Багринівці Літинської районної ради,0522480401,05,"[2019, 2020, 2021]",опорнийзакладсередньазагальнаосвти2ступсбагринвцлтинськао,26244432
Середня загальноосвітня школа I-III ступенів с. Багринівці,0522480401,05,"[2016, 2017, 2018]",середнязагальноосвтняшкола2ступсбагринвц,26244432
Середня загальноосвітня школа I-III ступенів с. Вінниківці,0522481603,05,"[2016, 2017, 2018]",середнязагальноосвтняшкола2ступсвниквц,26244432
Козлівська середня загальноосвітня школа I-III ступенів Могилів-Подільського району Вінницької області,0522683201,05,"[2019, 2020, 2021]",козлвськасереднязагальноосвтняшкола2ступвницькаобл,20098567
"Навчально-виховний комплекс ""Загальноосвітній навчальний заклад - дошкільний навчальний заклад"" с. Конищів",0522883001,05,"[2016, 2017, 2018]",навчальновиховнийкомплексзагальноосвтнйнавчальнийзакладдошкльнийнавчальнийзакладсконищ,21724529
"Навчально-виховний комплекс ""Загальноосвітній навчальний заклад - дошкільний навчальний заклад"" с. Конищів Мурованокуриловецького району Вінницької області",0522883001,05,"[2019, 2020, 2021]",навчальновиховнийкомплексзагальноосвтнйнавчальнийзакладдошкльнийнавчальнийзакладсконищввницькаобл,21724529
ліцей с. Конищів Мурованокуриловецької селищної ради Вінницької області,0522883001,05,[2023],лцейсконищвмурованокуриловецькавницькаобл,21724529
"Навчально-виховний комплекс ""Загальноосвітній навчальний заклад - дошкільний навчальний заклад"" с. Котюжани",0522883301,05,"[2016, 2017, 2018]",навчальновиховнийкомплексзагальноосвтнйнавчальнийзакладдошкльнийнавчальнийзакладскотюжан,21724529
Брацлавська спеціалізована школа І-ІІІ ступенів Немирівського району Вінницької обласної Ради,0523055300,05,"[2020, 2021, 2022]",брацлавськаспецалзованашкола2ступвницькаобласнарад,20096812
Брацлавський агроекономічний коледж Вінницького національного аграрного університету,0523055300,05,[2018],брацлавськийагроекономчнийколеджвницькогонацональногоаграрногоунверситет,20096812
"Брацлавський навчально-виховний комплекс: дошкільний навчальний заклад, загальноосвітня школа-інтернат І-ІІІ ступенів - гімназія Вінницької обласної Ради",0523055300,05,"[2018, 2019]",брацлавськийнавчальновиховнийкомплексдошкльнийнавчальнийзакладзагальноосвтняшколантернат2ступгмназявницькаобласнарад,20096812
"Комунальний заклад ""Брацлавський навчально-виховний комплекс: дошкільний навчальний заклад, загальноосвітня школа-інтернат І-ІІІ ступенів - гімназія  Вінницької обласної Ради""",0523055300,05,[2017],брацлавськийнавчальновиховнийкомплексдошкльнийнавчальнийзакладзагальноосвтняшколантернат2ступгмназявницькаобласнарад,20096812
"Комунальний заклад ""Брацлавський навчально-виховний комплекс: дошкільний навчальний заклад, загальноосвітня школа-інтернат І-ІІІ ступенів - гімназія"" Вінницької обласної Ради",0523055300,05,[2016],брацлавськийнавчальновиховнийкомплексдошкльнийнавчальнийзакладзагальноосвтняшколантернат2ступгмназявницькаобласнарад,20096812
"Комунальний заклад ""Брацлавський спортивний ліцей"" Вінницької обласної Ради",0523055300,05,[2023],брацлавськийспортивнийлцейвницькаобласнарад,20096812
"Комунальний заклад ""Райгородська загальноосвітня школа I-III ступенів Райгородської сілької ради Немирівського району Вінницької області""",0523086401,05,"[2019, 2020, 2021]",райгородськазагальноосвтняшкола2ступрайгородськаслькавницькаобл,26228485
Райгородська середня загальноосвітня школа I-III ступенів Немирівського району Вінницької області,0523086401,05,"[2016, 2017, 2018]",райгородськасереднязагальноосвтняшкола2ступвницькаобл,26228485
Райгородський ліцей Райгородської сільської ради Вінницької області,0523086401,05,"[2022, 2023]",райгородськийлцейрайгородськавницькаобл,26228485
Вилянська загальноосвітня школа I-III ступенів,0523955116,05,"[2016, 2017]",вилянськазагальноосвтняшкола2ступен,26223074
Вапнярська загальноосвітня школа I-III ступенів №1 ім. І. Д. Черняховського,0523955400,05,[2016],вапнярськазагальноосвтняшкола2ступ1мендчерняховськог,26223074
Липівська загальноосвітня школа I-III ступенів,0523982601,05,"[2017, 2018]",липвськазагальноосвтняшкола2ступен,25571703
Олександрівський заклад загальної середньої освіти I-III ступенів,0524180301,05,[2022],олександрвськийзакладзагальнасередньаосвти2ступен,30378176
Верхівська середня загальноосвітня школа І-ІІІ ступенів,0524180801,05,"[2016, 2017, 2018, 2019, 2020, 2021]",верхвськасереднязагальноосвтняшкола2ступен,26220512
"Комунальний заклад ""Верхівський заклад загальної середньої освіти І-ІІІ ступенів"" Ободівської сільської ради",0524180801,05,[2022],верхвськийзакладзагальнасередньаосвти2ступободвськао,26220512
Комунальний заклад «Верхівський ліцей» Ободівської сільської ради,0524180801,05,[2023],верхвськийлцейободвськао,26220512
Суворовська загальноосвітня школа I-III ступенів,0524310105,05,"[2016, 2017]",суворовськазагальноосвтняшкола2ступен,25948349
Альтернативна середня загальноосвітня школа I-III ступенів №1 ім. А.С. Макаренка розвитку здібностей дитини м. Гнівань Тиврівського району Вінницької області,0524510500,05,[2020],альтернативнасереднязагальноосвтняшкола2ступ1менасмакаренкарозвиткуздбностейдитинимгнваньвницькаобл,26242083
Альтернативна середня загальноосвітня школа I-III ступенів №1 ім. А.С.Макаренка розвитку здібностей дитини м.Гнівань,0524510500,05,"[2016, 2017, 2018]",альтернативнасереднязагальноосвтняшкола2ступ1менасмакаренкарозвиткуздбностейдитинимгнван,26242083
Альтернативна середня загальноосвітня школа I-III ступенів №1 ім. А.С.Макаренка розвитку здібностей дитини м.Гнівань Гніванської міської ради Тиврівського району Вінницької області,0524510500,05,[2019],альтернативнасереднязагальноосвтняшкола2ступ1менасмакаренкарозвиткуздбностейдитинимгнваньгнванськавницькаобл,26242083
Гніванська філія ліцею №1 ім. А.С. Макаренка Гніванської міської ради,0524510500,05,[2023],гнванськафлялцею1менасмакаренкагнванськао,26242083
Ліцей №1 ім. А.С. Макаренка Гніванської міської ради,0524510500,05,[2023],лцей1менасмакаренкагнванськао,26242083
"Опорний заклад освіти ""Альтернативна школа загальної середньої освіти I-III ступенів №1 ім. А.С. Макаренка розвитку здібностей дитини Гніванської міської ради Вінницької області""",0524510500,05,[2021],опорнийзакладосвтиальтернативнашколазагальнасередньаосвти2ступ1менасмакаренкарозвиткуздбностейдитинигнванськавницькаобл,26242083
"Опорний заклад освіти ""Альтернативна школа загальної середньої освіти I-III ступенів №1 ім. А.С. Макаренка розвитку здібностей дитини"" Гніванської міської ради Вінницької області",0524510500,05,[2022],опорнийзакладосвтиальтернативнашколазагальнасередньаосвти2ступ1менасмакаренкарозвиткуздбностейдитинигнванськавницькаобл,26242083
Тростянецька загальноосвітня школа I-III ступенів,0524586801,05,"[2016, 2017, 2018]",тростянецьказагальноосвтняшкола2ступен,24170793
Лозівська середня загальноосвітня школа I-III ступенів Чернівецького району,0524984001,05,"[2016, 2017]",лозвськасереднязагальноосвтняшкола2ступен,26229042
"Комунальний заклад ""Сокільська загальноосвітня школа I-III ступенів Чернівецької районної ради Вінницької області""",0524986001,05,"[2019, 2020]",сокльськазагальноосвтняшкола2ступчернвецькавницькаобл,26242901
Сокільська середня загальноосвітня школа I-III ступенів Чернівецького району,0524986001,05,"[2016, 2017]",сокльськасереднязагальноосвтняшкола2ступен,26242901
Сокільська середня загальноосвітня школа I-III ступенів Чернівецького району Вінницької області,0524986001,05,[2018],сокльськасереднязагальноосвтняшкола2ступвницькаобл,26242901
Сокільський заклад загальної середньої освіти I-III ступенів Чернівецької селищної ради,0524986001,05,[2022],сокльськийзакладзагальнасередньаосвти2ступчернвецькао,26242901
Сокільський ліцей Чернівецької селищної ради,0524986001,05,[2023],сокльськийлцейчернвецькао,26242901
Козлівська середня загальноосвітня школа I-III ступенів Шаргородського району Вінницької області,0525384201,05,"[2020, 2021]",козлвськасереднязагальноосвтняшкола2ступвницькаобл,20098567
"Козлівська середня загальноосвітня школа I-III ступенів, Шаргородського району, Вінницької області",0525384201,05,"[2016, 2017, 2018, 2019]",козлвськасереднязагальноосвтняшкола2ступвницькаобл,20098567
Козлівський заклад загальної середньої освіти І-ІІІ ступенів Шаргородської міської ради Жмеринського району Вінницької області,0525384201,05,[2022],козлвськийзакладзагальнасередньаосвти2ступшаргородськавницькаобл,20098567
Козлівський ліцей Шаргородської міської ради Жмеринського району Вінницької області,0525384201,05,[2023],козлвськийлцейшаргородськавницькаобл,20098567
Лозівська середня загальноосвітня школа I-III ступенів Шаргородського району Вінницької області,0525384801,05,"[2021, 2022]",лозвськасереднязагальноосвтняшкола2ступвницькаобл,26229042
"Лозівська середня загальноосвітня школа I-III ступенів, Шаргородського району, Вінницької області",0525384801,05,"[2016, 2017, 2018, 2019]",лозвськасереднязагальноосвтняшкола2ступвницькаобл,26229042
