eoname,url
Відділ освіти Бородянської райдержадміністрації,
Відділ освіти Жашківської райдержадміністрації,
"Відділ освіти, молоді та спорту Чорнухинської райдержадміністрації",
Відділ освіти і науки Таращанської райдержадміністрації,
Відділ освіти Червоноградської міської ради,
"Територіальний відділ освіти, молоді та спорту Шевченківського району управління освіти і науки департаменту освіти і науки, молоді та спорту Запорізької міської ради",
Відділ освіти Новосанжарської райдержадміністрації,
"Управління освіти, сім'ї, молоді та спорту Сторожинецької районної державної адміністрації",
Управління освіти Ужгородської міської ради,
Управління освіти виконавчого комітету Мукачівської міської ради,https://opendatabot.ua/c/02143413
"Департамент освіти і науки, молоді та спорту виконавчого органу Київської міської ради (Київської міської державної адміністрації)",https://opendatabot.ua/c/02147629
"Відділ освіти, молоді та спорту Краснопільської районної державної адміністрації
",https://opendatabot.ua/c/02147753
Управління освіти Енергодарської міської ради Запорізької області,https://opendatabot.ua/c/20520150
Відділ освіти Слов'янської районної державної адміністрації Донецької області,https://opendatabot.ua/c/02142721
Управління освіти і науки Бориспільскої міської ради,
Відділ освіти Вугледарської міської ради Донецької області,
Управління освіти Ніжинської міської ради,
Відділ освіти Ємільчинської районної державної адміністрації,
Відділ освіти Хустської райдержадміністрації,
"Управління освіти, молоді та спорту Виноградівської райдержадміністрації",
Відділ освіти Турійської районної державної адміністрації,
Відділ освіти виконавчих органів Дрогобицької міської ради,
Відділ освіти Шосткинської райдержадміністрації,
Відділ освіти виконкому Жовтневої районної у місті Кривому Розі ради,
Відділ освіти Вінницької районної державної адміністрації,
Відділ освіти Володарсько-Волинської районної державної адміністрації,
Відділ освіти Чернігівської районної державної адміністрації,
Управління освіти Подільської районної у м. Києві ради (Подільської районної у м. Києві державної адміністрації),
Відділ освіти Красноармійської міської ради Донецької області,https://opendatabot.ua/c/36889444
Відділ освіти Приморської районної адміністрації,https://opendatabot.ua/c/02136264
Управління освіти Чернігівської міської ради,https://opendatabot.ua/c/02147598
Управління освіти Святошинської районної у м. Києві ради (Святошинської районної у м. Києві державної адміністрації),https://opendatabot.ua/c/37498536
Відділ освіти Дзержинської міської ради Донецької області,https://opendatabot.ua/c/25706103
Відділ освіти Погребищенської районної державної адміністрації,https://opendatabot.ua/c/02311483
Відділ освіти Баришівської райдержадміністрвції,https://opendatabot.ua/c/02143620
Відділ освіти Овідіопольської районної державної адміністрації,https://opendatabot.ua/c/02145240
Відділ освіти Самбірської райдержадміністрації,https://opendatabot.ua/c/02144631
Управління освіти та науки Дніпропетровської міської ради,https://opendatabot.ua/c/02142224
Відділ освіти Млинівської районної державної адміністрації Рівненської області,
Відділ освіти виконавчого комітету Стрийської міської ради,
Відділ освіти Мукачівської районної державної адміністрації,
"Відділ освіти Кролевецької районної державної адміністрації
",
