eoname,url
Відділ освіти Саксаганської сільської ради П'ятихатського району Дніпропетровської області,
Відділ з гуманітарних питань Гірсівської сільської ради,
Соціально-гуманітарний відділ Високівської сільської ради Черняхівського району Житомирської області,
"Відділ освіти, культури, соціально-гуманітарної політики Староприлуцької сільської ради Липовецького району Вінницької області",
"Відділ освіти, культури, молоді та спорту Смирновської сільської ради Більмацького району Запорізької області",
Сектор освіти Барашівської сільської ради Ємільчинського району Житомирської області,
"Відділ освіти, культури, спорту і туризму Китайгородської сільської ради Хмельницької області",
"Відділ освіти, молоді, спорту та культури виконавчого комітету Сергіївської сільської ради Гадяцького району Полтавської області",
"Відділ освіти, культури та спорту виконавчого комітету Мліївської сільської ради",
"Відділ освіти, культури, молоді та спорту Ічнянської районної державної адміністрації",
"Відділ освіти, культури, сім’ї, молоді і спорту виконкому Макіївської сільської ради",
Відділ соціально-гуманітарних питань виконавчого комітету Любимівської сільської радиДніпровського району Дніпропетровської області,
"Відділ освіти, культури, спорту та туризму виконавчого комітету Пришибської сільської ради Кременчуцького району Полтавської області",https://opendatabot.ua/c/40205542
"Відділ освіти, молоді та спорту Плисківської сільської ради Борзнянського району",https://opendatabot.ua/c/43483391
Відділ з гуманітарних питань Чумаківської сільської ради,https://opendatabot.ua/c/42672581
"Відділ освіти, молоді та спорту Шалигинської селищної ради Глухівського району Сумської області",https://opendatabot.ua/c/41065771
Відділ освіти Вакулівської сільської ради,https://opendatabot.ua/c/40210039
"Відділ освіти, молоді та спорту виконавчого комітету Омельницької сільської ради Кременчуцького району",https://opendatabot.ua/c/41605797
"Відділ освіти, культури, охорони здоров’я, сім’ї, молоді та спорту Брусилівської районної державної адміністрації Брусилівського району Житомирської області",https://opendatabot.ua/c/41430180
"Відділ освіти, культури, молоді та спорту Скадовської районної державної адміністрації",https://opendatabot.ua/c/02146630
"Управління освіти, молоді та спорту Снятинської райдержадміністрації",https://opendatabot.ua/c/43917808
"Відділ освіти, культури, бібліотек, молоді та спорту Лозно-Олександрівської селищної ради",https://opendatabot.ua/c/43062882
Відділ соціально-гуманітарної політики Воютицької сільської ради Самбірського району Львівської області,
"Відділ освіти, національно-патріотичного виховання, молоді та спорту Житомирської районної державної адміністрації",
"Відділ освіти, молоді та спорту Лиманської районної державної адміністрації Одеської області",
"Управління освіти, молоді, спорту та національно-патріотичного виховання виконавчого комітету Малинської міської ради Житомирської області",
"Відділ освіти, молоді, спорту, культури та туризму Запорізької районної державної адміністрації",
Відділ освіти Кривоозерської районної державної адміністрації Миколаївської області,
"Відділ освіти, молоді та спорту, культури, туризму Вилківської міської ради",
"Відділ освіти, молоді і спорту Баштанської районної державної адміністрації Миколаївської області",
"Відділ освіти, молоді та спорту Роздільянської районної державної адміністрації",
Відділ освіти Хотинської районної державної адміністрації,
Територіальний відділ освіти Вознесенівського району Департаменту освіти і науки Запорізької міської ради,
"Відділ освіти, молоді та спорту виконавчого комітету Баштанської міської ради Баштанського району Миколаївської області",
Гуманітарний відділ Старовижівської селищної ради Старовижівського району Волинської області,
Відділ з гуманітарних питань виконавчого комітету Улашанівської сільської ради Славутського району Хмельницької області,
Сектор освіти Нижньосірогозької районної державної адміністрації,https://opendatabot.ua/c/02146601
"Відділ освіти, молоді та спорту виконавчого комітету Кіцманської міської ради",https://opendatabot.ua/c/02143956
Старосільська сільська рада Рокитнівського району Рівненської області,https://opendatabot.ua/c/04387645
"Відділ освіти,молоді та спорту Новомиргородської районної державної адміністрації",https://opendatabot.ua/c/02144105
"Відділ освіти, молоді та спорту Бериславської районної державної адміністрації",https://opendatabot.ua/c/02146481
Відділ освіти Новоайдарської районної державної адміністрації,https://opendatabot.ua/c/02144884
"Відділ освіти, культури, молоді та спорту Горохівської районної державної адміністрації Волинської області",https://opendatabot.ua/c/02141710
Відділ освіти Чуднівської міської ради,https://opendatabot.ua/c/42870829
"Відділ освіти, культури, туризму, молоді та спорту Чигиринської міської ради",https://opendatabot.ua/c/43032664
Петрівська селищна рада Петрівського району Кіровоградської області,
"Відділ освіти,охорони здоров'я, сім'ї, молоді і спорту, культури, туризму та соціального захисту населення виконавчого комітету Дівичківської сільської ради",
Управління освіти Бахмутської міської ради,
"Відділ освіти, культури, медицини і спорту Вижницької міської ради",
"Управління освіти, культури, молоді та спорту Криворізької районної державної адміністрації",
Відділ освіти Великокопанівської сільської ради Олешківського району,
"Відділ освіти, молоді та спорту Дмитрівської сільської ради Знам’янського району Кіровоградської області",
"Відділ освіти, культури, туризму, молоді, спортувиконавчого комітету Руськополянської сільської ради",
"Відділ освіти, молоді, спорту, культури та туризму Покровськобагачанської сільської ради Хорольського району Полтавської області",
Відділ освіти Олександрівської районної державної адміністрації Кіровоградської області,
"Відділ освіти, молоді та спорту Станіславської сільської ради",
"Відділ освіти, культури, туризму, молоді та спорту виконкому Вербківської сільської ради",
"Відділ освіти, молоді та спорту Кам'янської районної державної адміністрації",
Відділ освіти і культури Вільнянської районної державної адміністрації Запорізької області,https://opendatabot.ua/c/02228300
Відділ освіти Гощанської районної державної адміністрації Гощанського району Рівненської області,https://opendatabot.ua/c/02145808
Відділ з гуманітарних питань Неполоковецької селищної ради,https://opendatabot.ua/c/44082847
"Відділ освіти, молоді, спорту та культури Ренійської районної державної адміністрації",https://opendatabot.ua/c/02145263
"Відділ освіти, культури та спорту Монастириської міської ради",https://opendatabot.ua/c/44081953
"Відділ освіти, молоді і спорту Білозерської районної державної адміністрації",https://opendatabot.ua/c/02146498
Відділ освіти Сокальської районної державної адміністрації,https://opendatabot.ua/c/02144789
"Відділ освіти, молоді та спорту Пологівської міської ради",https://opendatabot.ua/c/44104383
"Відділ освіти, молоді, культури та спорту Більмацької селищної ради Більмацького району Запорізької області",https://opendatabot.ua/c/02136206
"Відділ освіти, культури і туризму, молоді та спорту Шегинівської сільської ради Мостиського району Львівської області",https://opendatabot.ua/c/41066555
"Відділ освіти, молоді та спорту Рожнятівської районної державної адміністрації",
Відділ освіти Костянтинівської районної державної адміністрації,
"Відділ освіти, молоді та спорту Арцизької райдержадміністрації",
"Відділ освіти, культури, молоді та спорту Білогірської селищної ради Білогірського району Хмельницької області",
Міністерство внутрішніх справ України,
Степанівська Перша сільська рада Приазовського району Запорізької області,
Відділ з гуманітарних питань Овруцької міської ради Житомирської області,
"Відділ освіти, сім'ї, молоді та спорту Веселинівської селищної ради Миколаївської області",
"Відділ освіти, культури, молоді та спорту Широківської сільської ради Снігурівського району Миколаївської області",
Відділ освіти Новицької сільської ради об'єднаної територіальної громади,
Управління освіти виконавчого комітету Нетішинської міської ради Хмельницької області,
"Відділ освіти,культури, молоді та спорту Яськівської сільської ради Біляївського району Одеської області",
"Відділ освіти, культури, сім’ї, молоді та спорту Олешківської районної державної адміністрації",
Відділ освіти Бродівської районної державної адміністрації Львівської області,
Відділ освіти виконавчого комітету Царичанської селищної ради,https://opendatabot.ua/c/41428297
"Відділ освіти, молоді та спорту Баришівської селищної ради",https://opendatabot.ua/c/42781137
Відділ освіти Каховської районної державної адміністрації,https://opendatabot.ua/c/02146593
"Відділ освіти, молоді та спорту виконавчого комітету Томаківської селищної ради Дніпропетровської області",https://opendatabot.ua/c/36730231
"Відділ освіти, молоді та спорту Гіркополонківської сільської ради Луцького району Волинської області",https://opendatabot.ua/c/43056224
"Відділ освіти, молоді і спорту, культури та туризму Загвіздянської сільської ради об'єднаної територіальної громади Тисменицького району Івано-Франковської області",https://opendatabot.ua/c/44047336
Відділ освіти Нікольської райдержадміністрації,https://opendatabot.ua/c/02142649
Відділ освіти Розівської селищної ради Розівського району Запорізької області,https://opendatabot.ua/c/25218549
Відділ освіти Путивльської районної державної адміністрації,https://opendatabot.ua/c/02147807
"Управління освіти,культури,сім’ї, молоді, спорту та туризму Мологівської сільської ради Білгород-Дністровського районуОдеської області",https://opendatabot.ua/c/42235846
"Відділ освіти, молоді та спорту Шевченківської сільської ради Вітовського району Миколаївської області",
Управління освіти Южноукраїнської міської ради Миколаївської області,
Відділ освіти П'ятихатської районної державної адміністрації Дніпропетровської області,
"Відділ освіти, молоді та спорту Петриківської селищної ради Дніпропетровської області",
Відділ освіти Генічеської районної державної адміністрації,
"Відділ освіти, молоді та спорту Кропивницької районної державної адміністрації Кіровоградської області",
Управління освіти Чугуївської міської ради Харківської області,
"Відділ освіти, молоді та спорту Коломийської райдержадміністрації",
Відділ освіти та гуманіторної політики Широківської райдержадміністрації,
Відділ освіти виконавчого комітету Лисянської селищної ради,
"Відділ освіти, сім'ї, молоді та спорту Гусятинської селищної ради (ОТГ)",
"Відділ освіти, молоді то спорту виконавчего комітету Компаніївської селищної ради Кіровоградської області",
Відділ освіти Роменської районної державної адміністрації,
"Відділ освіти, молоді та спорту Гуляйпільської міської ради",
"Управління освіти, сім’ї та молодіжної політики Подільської міської ради",https://opendatabot.ua/c/20957094
Відділ освіти Новоодеської районної державної адміністрації Миколаївської області,https://opendatabot.ua/c/02144884
"Управління освіти, культури та спорту Овідіопольської районної державної адміністрації",https://opendatabot.ua/c/02145240
Сектор освіти Зарічненської районної державної адміністрації Рівненської області,https://opendatabot.ua/c/02145754
"Відділ освіти, культури, молоді та спорту Верхньорогачицької районної державної адміністрації",https://opendatabot.ua/c/02146529
Відділ освіти Новопсковської селищної ради,https://opendatabot.ua/c/41716271
"Відділ освіти, культури, молоді та спорту Дорошівської сільської ради Вознесенського району Миколаївської області",https://opendatabot.ua/c/42281693
"Відділ освіти, молоді та спорту Турійської селищної ради Турійського району Волинської області",https://opendatabot.ua/c/43320994
Управління освіти Вознесенської міської ради Миколаївської області,https://opendatabot.ua/c/05410079
"Відділ освіти, культури та соціального захисту населення Дядьковицької сільської ради Рівненського району Рівненської області",https://opendatabot.ua/c/41145867
"Відділ освіти, культури, молоді та спорту Червонослобідської сільської ради",https://opendatabot.ua/c/44047336
"Відділ освіти, культури і туризму, молоді та спорту Василівської районної державної адміністрації Запорізької області",https://opendatabot.ua/c/02228144
"Відділ освіти, культури, молоді та спорту виконавчого апарату Знам’янської сільської ради Іванівського району Одеської області",https://opendatabot.ua/c/42165088
"Відділ освіти, культури, молоді та спорту Глибоцької райдержадміністрації",https://opendatabot.ua/c/02147300
"Сектор освіти, молоді та спорту Криничанської райдержадміністрації",https://opendatabot.ua/c/02142448
Відділ освіти Станично-Луганської районної державної адміністрації,https://opendatabot.ua/c/02141779
Відділ освіти Великоолександрівської районної державної адміністрації,https://opendatabot.ua/c/02146512
"Відділ освіти, молоді та спорту виконавчого комітету Каланчацької селищної ради",https://opendatabot.ua/c/41069818
"Відділ освіти, культури, молоді та спорту виконавчого комітету Литвинецької сільської ради",
"Управління освіти, молоді та спорту виконавчого комітету Володимир-Волинської міської ради",
Сектор освіти Любомльської районної державної адміністрації Волинської області,
"Відділ освіти, молоді та спорту Зимноводівської сільської ради Пустомитівського району Львівської області",
"Відділ освіти, культури та спорту Виноградівської сільської ради Олешківського району",
Відділ освіти та молодіжної політики Кілійської міської ради,
"Відділ освіти, культури, молоді та спорту Хлистунівської сільської ради",
"Відділ освіти, молоді та спорту,культури і туризму Гуляйпільської районної державної адміністрації Запорізької області",
"Сектор освіти, культури, молоді та спорту Старовижівської районної державної адміністрації Волинської області",
"Відділ освіти, культури, молоді та спорту Голопристанської районної державної адміністрації",
Відділ освіти Снігурівської районної державної адміністрації Миколаївської області,
"Відділ освіти, культури, медицини, молоді, спорту та соціального захисту Тростянецької селищної ради Вінницької області",
"Відділ освіти, культури, туризму, молоді та спорту Вільшанської селищної ради Городищенського району Черкаської області",
Сектор освіти Локачинської районної державної адміністрації Волинської області,https://opendatabot.ua/c/02141584
"Відділ освіти, молоді та спорту Вигодської селищної ради",https://opendatabot.ua/c/43162486
Ківерцівська міська рада Волинської області,https://opendatabot.ua/c/26516861
"Відділ освіти, молоді та спорту Валківської районної державної адміністрації Харківської області",https://opendatabot.ua/c/02146392
"Відділ освіти, молоді і спорту Новобузької районної державної адміністрації Миколаївської області",https://opendatabot.ua/c/02144909
"Відділ освіти, культури, сім'ї, молоді та спорту Копичинецької міської ради (ОТГ)",https://opendatabot.ua/c/44054191
"Відділ освіти, молоді та спорту Калуської районної державної адміністрації",https://opendatabot.ua/c/02143531
Відділ освіти Тячівської міської ради Закарпатської області,https://opendatabot.ua/c/40334947
"Сектор освіти, молоді та спорту Веселівської районної державної адміністрації",https://opendatabot.ua/c/02136235
"Відділ з питань освіти, культури, спорту та молодіжної політики Любашівської селищної ради",https://opendatabot.ua/c/43127609
"Відділ освіти, культури, туризму, сім'ї, молоді та спорту Іванівської сільської ради Чернігівського району",
Відділ освіти Первомайської районної державної адміністрації Миколаївської області,
Відділ освіти та культури Ківерцівської районної державної адміністрації Волинської області,
Гуманітарний відділ виконавчого комітету Миронівської міської ради Миронівського району Київської області,
Управління освіти Біляївської міської ради,
"Відділ освіти, молоді та спорту виконачого комітету Кам'янсько-Дніпровської міської ради Кам'янсько-Дніпровського району Запорізької області",
Відділ освіти Балтської міської ради Одеської області,
Відділ освіти Бородянської селищної ради,
"Відділ освіти, культури, молоді та спорту, охорони здоров'я та соціальної політики Ярославицької сільської ради Млинівського району Рівненської області",
"Відділ освіти, молоді та спорту Млинівської районної державної адміністрації Рівненської області",
Відділ соціально-гуманітарних питань виконавчого комітету Любимівської сільської ради Дніпровського району Дніпропетровської області,
"Макарівський відділ освіти, фізичної культури та спорту",
Відділ освіти Циркунівської сільської ради Харківського району Харківської області,
"Сектор освіти, молоді та спорту Межиріцької сільської ради Канівського району Черкаської області",
Відділ освіти Золотоніської міської ради,https://opendatabot.ua/c/21367348
"Відділ освіти, культури, молоді і спорту Христинівської районної державної адміністрації",https://opendatabot.ua/c/38925709
Відділ організації діяльності закладів освіти Радехівської міської ради,https://opendatabot.ua/c/43081140
Гуманітарний відділ Привітненської сільської ради Локачинського району Волинської області,https://opendatabot.ua/c/43236877
Відділ освіти Роганської селищної ради Харківського району Харківської області,https://opendatabot.ua/c/41285901
Міністерство оборони України,
Чагорська сільська рада,
"Відділ з питань освіти, молоді, спорту, культури та медицини Куцурубської сільської ради ОТГ Очаківського району Миколаївської області",
"Відділ освіти, молоді та спорту, культури та туризму Окнянської селищної ради Окнянського району Одеської області",
"Відділ освіти,культури, молоді та спорту виконавчого апарату Коноплянської сільської ради Іванівського району",
Відділ освіти Куяльницької сільської ради Подільського району Одеської області,
"Відділ освіти, молодіжної політики та спорту Іванівської районної державної адміністрації",
Попельнастівська сільська рада Олександрійського району Кіровоградської області,
"Відділ освіти, молоді та спорту Єланецької районної державної адміністрації Єланецького району Миколаївської області",
Центр із обслуговування комунальних закладів та установ Приютівської селищної ради Олександрійського району Кіровоградської області,
Відділ освіти апарату виконавчого комітету Новоселицької міської ради,
"Відділ освіти, молоді та спорту Роздорської селищної ради Синельниківського району",
Методичний кабінет Арбузинської селищної ради Арбузинського району Миколаївської області,
"Відділ освіти, культури, молоді та спорту Каланчацької районної державної адміністрації Херсонської області",
"Відділ освіти, молоді та спорту виконавчого органу Доманівської селищної ради Миколаївської області",https://opendatabot.ua/c/41369635
"Відділ освіти,культури,молодіжної політики та спорту Дальницької сільської ради Овідіопольського району Одеської області",https://opendatabot.ua/c/42414746
"Відділ освіти, культури, молоді та спорту виконавчого комітету Лугинської селищної ради Лугинського району Житомирської області",https://opendatabot.ua/c/42038141
"Відділ освіти, молоді та спорту Дубенської райдержадміністрації Рівненської області",https://opendatabot.ua/c/02145814
"Відділ освіти, культури, охорони здоров'я та соціальної політики виконавчого комітету Юріївської селищної ради Юріївського району Дніпропетровської області",https://opendatabot.ua/c/41823542
Відділ освіти Новосанжарської селищної ради Полтавської області,https://opendatabot.ua/c/43311807
Відділ соціально-економічного розвитку Букачівської селищної ради,
відділ освіти Покровської РДА Донецької області		,
"Управління освіти, культури, молоді та спорту Шабівської сільської ради Білгород-Дністровського району Одеської області",
Відділ освіти та туризму Рогатинської районної державної адміністрації,
Відділ освіти та економічного розвитку Червоненської селищної ради Андрушівського району Житомирської області,
Відділ освіти Судововишнянської об'єднаної територіальної громади,
"Відділ освіти, культури, молоді, туризму та спорту Добровеличківської селищної ради",
"Управління освіти, молоді та спорту Тиврівської районної державної адміністрації Вінницької області",
"Відділ освіти, культури, сімї, молоді та спорту виконавчого комітету Бехтерської сільської ради",
"Відділ освіти, культури, туризму, молоді та спорту Григорівської сільської ради Чаплинського району",
"Відділ освіти, культури, сім'ї, молоді, спорту та туризму Новобілоуської сільської ради Чернігівського району Чернігівської області",
"Відділ освіти, культури, молоді та спорту Парафіївської селищної ради",
Новострілищанська селищна рада,
"Відділ освіти, молоді та спорту Вільшанської сільської ради ОТГ Чуднівського району Житомирської області",
"Відділ освіти, культури, молоді та спорту Паланської сільської ради",https://opendatabot.ua/c/43369291
"Сектор освіти, культури, молоді та спорту Іркліївської сільської ради",https://opendatabot.ua/c/44247455
Управління культури Херсонської обласної державної адміністрації,https://opendatabot.ua/c/33823925
Гуманітарний відділ Павлівської сільської ради Іваничівського району Волинської області,
"Відділ освіти, культури, молоді та спорту Шляхівської сільської ради",
"Відділ освіти, культури, молоді та спорту Березанської селищної ради Березанського райну Миколаївської області",
"Відділ освіти, культури, туризму, молоді та спорту сільської ради Солонківської ОТГ",
"Відділ освіти, молоді, спорту, культури та туризму Олександрівської об’єднаної територіальної громади",
"Відділ освіти, культури, молоді та спорту Костянтинівської сільської ради Горностаївського району",
Управління освіти та культури Берегівської міської ради,
"Відділ освіти, культури та спорту Якушинецької сільської ради Вінницького району Вінницької області",
"Відділ освіти, культури, туризму, молоді, спорту виконавчого комітету Білозірської сільської ради Черкаського району Черкаської області",
"Відділ освіти, молоді, спорту та культури Ємільчинської районної державної адміністрації Житомирської області",
Відділ освіти Борозенської сільської ради,
"Відділ освіти, культури, молоді та спорту виконавчого комітету Тернівської сільської ради",
"Відділ освіти, молоді та спорту Герцаївської міської ради",
"Відділ освіти, молоді та спорту виконавчого комітету Чорнухинської селищної ради",
"Відділ освіти, молоді та спорту Гришковецької селищної ради Бердичівського району Житомирської області",https://opendatabot.ua/c/42735489
Відділ освіти Іванівської селищної ради ОТГ,https://opendatabot.ua/c/44125214
"Відділ освіти, молоді та спорту Швайківської сільської ради Бердичівського району Житомирської області",https://opendatabot.ua/c/43023377
Відділ освіти Троїцької райдержадміністрації,https://opendatabot.ua/c/02142135
Відділ освіти Білецької сільської ради (ОТГ),https://opendatabot.ua/c/43041459
Відділ освіти Переяславської міської ради,https://opendatabot.ua/c/02143749
Відділ освіти Добропільської районної державної адміністрації,https://opendatabot.ua/c/02142655
"Відділ освіти, культури, молоді та спорту Підгайцівської сільської ради Луцького району Волинської області",https://opendatabot.ua/c/43329421
Гуманітарний сектор Озернянської сільської ради,
"Відділ з питань освіти, охорони здоров'я, культури, молоді та спорту, соціального захисту населення Дубівської сільської ради Ковельського району Волинської області",
"Відділ освіти, культури, молоді та спорту виконавчого комітету Любимівської селищної ради Каховського району",
"Відділ освіти, культури, молоді та спорту виконавчого комітету Личківської сільської ради",
Відділ освіти виконавчого комітету Бібрської міської ради,
"Відділ з питань освіти, молоді, спорту та культури Новополтавської сільської ради Новобузького району Миколаївської обл.",
"Комунальна установа ""Центр гуманітарної політики"" Компаніївської районної ради",
"Відділ освіти, культури, молоді та спорту виконавчого комітету Богданівської сільської ради",
"Відділ освіти, охорони здоров'я, культури, туризму, молоді, спорту, соціального захисту населення Сагунівської сільської ради",
Відділ освіти Очаківської міської ради Миколаївської області,
"Методичний кабінет відділу освіти, культури, молоді та спорту Галицинівської сільської ради Миколаївської області",
"Відділ освіти, культури, молоді та спорту Старокозацької сільської ради Білгород-Дністровського району Одеської області",
"Відділ освіти, культури, молоді та спорту Преображенської сільської ради Оріхівського району Запорізької області",
"Відділ освіти, культури, туризму, молоді та спорту виконавчого комітету Межирицької сільської ради Павлоградського району Дніпропетровської області",
"Сектор освіти,культури, молоді та спорту Юр'ївської районної державної адміністрації",https://opendatabot.ua/c/42481079
"Відділ освіти, культури, молоді та спорту виконавчого комітету Бабинської сільської ради Гощанського району Рівненської області",https://opendatabot.ua/c/43117798
"Відділ освіти, молоді, культури, спорту, соціального захисту, охорони здоров'я, надання адміністративних та соціальних послуг виконавчого комітету Зорівської сільської ради",https://opendatabot.ua/c/44000167
"Відділ освіти, охорони здоров'я, культури, молоді та спорту Медведівської сільської ради",https://opendatabot.ua/c/44125560
Відділ освіти та соціально-гуманітарної роботи Шахівської сільської ради,https://opendatabot.ua/c/44027079
"Відділ освіти, культури, охорони здоров’я та соціальної політики Мартинівської сільської територіальної громади Пулинського району Житомирської області",https://opendatabot.ua/c/41823542
"Відділ освіти, молоді, спорту, культури та туризму Чкаловської сільської ради Веселівського району Запорізької області",https://opendatabot.ua/c/41357808
Відділ освіти Дмитрушівської сільської ради,https://opendatabot.ua/c/44173902
"Відділ соціального захисту населення, освіти, культури, сім'ї, молоді та спорту Ямпільської селищної ради Білогірського району Хмельницької області",https://opendatabot.ua/c/43919849
"Відділ освіти, молоді, спорту, охорони здоров'я, культури та соціального захисту Новопразької селищної ради Олександрійського району Кіровоградської області",
