eoname,KOATUU_2020,year,id,EDRPOU,KOATUU_2020_reg
"Жмеринська філія ""Вінницький фаховий коледж менеджменту""",0510300000,"[2021, 2022]",жмеринськафлявницькийколеджменеджменту,,05
Загальноосвітня школа I-III ступенів №1 комунальної власності територіальної громади м.Жмеринки,0510300000,"[2016, 2017, 2018, 2019]",загальноосвтняшкола3ступ1комунальновласносттериторальногромадимжмеринки,,05
Загальноосвітня школа I-III ступенів №1 комунальної власності територіальної громади м.Жмеринки Вінницької області,0510300000,[2020],загальноосвтняшкола3ступ1комунальновласносттериторальногромадимжмеринкивницькообл,,05
Загальноосвітня школа I-III ступенів №3 комунальної власності територіальної громади м.Жмеринки,0510300000,"[2016, 2017, 2018, 2019]",загальноосвтняшкола3ступ3комунальновласносттериторальногромадимжмеринки,,05
Загальноосвітня школа I-III ступенів №4 комунальної власності територіальної громади м.Жмеринки Вінницької області,0510300000,"[2016, 2017, 2018, 2019, 2020]",загальноосвтняшкола3ступ4комунальновласносттериторальногромадимжмеринкивницькообл,,05
Загальноосвітня школа I-III ступенів №6 комунальної власності територіальної громади м.Жмеринки,0510300000,"[2016, 2017, 2018, 2019]",загальноосвтняшкола3ступ6комунальновласносттериторальногромадимжмеринки,,05
Заклад загальної середньої освіти I-III ступенів №4 комунальної власності Жмеринської міської об'єднаної територіальної громади Вінницької області,0510300000,"[2021, 2022]",закладзагальносередньоосвти3ступ4комунальновласностжмеринськомськообєднанотериторальногромадивницькообл,,05
"Навчально-виховний комплекс ""Загальноосвітня школа I-III ступенів - гімназія"" комунальної власності територіальної громади м.Жмеринки",0510300000,[2018],навчальновиховнийкомплексзагальноосвтняшкола3ступгмназякомунальновласносттериторальногромадимжмеринки,,05
"Навчально-виховний комплекс ""Загальноосвітня школа I-III ступенів - гімназія""комунальної власності територіальної громади м.Жмеринка",0510300000,[2016],навчальновиховнийкомплексзагальноосвтняшкола3ступгмназякомунальновласносттериторальногромадимжмеринка,,05
"Навчально-виховний комплекс ""Загальноосвітня школа I-III ступенів - гімназія""комунальної власності територіальної громади м.Жмеринки",0510300000,[2017],навчальновиховнийкомплексзагальноосвтняшкола3ступгмназякомунальновласносттериторальногромадимжмеринки,,05
"Навчально-виховний комплекс ""Загальноосвітня школа I-III ступенів-ліцей"" комунальної власності територіальної громади м. Жмеринки",0510300000,"[2016, 2017]",навчальновиховнийкомплексзагальноосвтняшкола3ступлцейкомунальновласносттериторальногромадимжмеринки,,05
Опорний заклад загальної середньої освіти І-ІІІ ступенів №5 комунальної власності Жмеринської міської об'єднаної територіальної громади Вінницької області,0510300000,"[2021, 2022]",опорнийзакладзагальносередньоосвти3ступ5комунальновласностжмеринськомськообєднанотериторальногромадивницькообл,,05
"Відокремлений структурний підрозділ ""Могилів-Подільський технолого-економічний фаховий коледж Вінницького національного аграрного університету""",0510400000,"[2021, 2022]",вдокремленийструктурнийпдроздлмогилвподльськийтехнологоекономчнийколеджвницькогонацональногоаграрногоунверситету,,05
Навчально-виховний комплекс : загальноосвітня школа І-ІІІ ступенів №4-ліцей м. Могилева-Подільського Вінницької області,0510400000,"[2016, 2017]",навчальновиховнийкомплексзагальноосвтняшкола3ступ4лцейммогилеваподльськоговницькообл,,05
Навчально-виховний комплекс: загальноосвітня школа І-ІІІ ступенів №4-ліцей м. Могилева-Подільського Вінницької області,0510400000,"[2018, 2019, 2020, 2021]",навчальновиховнийкомплексзагальноосвтняшкола3ступ4лцейммогилеваподльськоговницькообл,,05
"ДПТНЗ ""Козятинське міжрегіональне вище професійне училище залізничного транспорту""",0510500000,"[2018, 2019, 2020, 2021, 2022]",дптнзкозятинськемжрегональневищепрофесйнеучилищезалзничноготранспорту,,05
"Комунальний навчальний заклад ""Загальноосвітня школа I-III ступенів № 5 Козятинської міської ради Вінницької області""",0510500000,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",комунальнийнавчальнийзакладзагальноосвтняшкола3ступ5козятинськомськорадивницькообл,,05
"Відокремлений структурний підрозділ ""Ладижинський фаховий коледж Вінницького національного аграрного університету""",0510600000,"[2021, 2022]",вдокремленийструктурнийпдроздлладижинськийколеджвницькогонацональногоаграрногоунверситету,,05
"ДПТНЗ ""Хмільницький аграрний центр професійно-технічної освіти""",0510900000,"[2018, 2019, 2020, 2021, 2022]",дптнзхмльницькийаграрнийцентрпрофесйнотехнчноосвти,,05
Загальноосвітня школа І-ІІІ ступенів №2 м.Хмільника,0510900000,"[2016, 2017, 2018, 2019, 2020]",загальноосвтняшкола3ступ2мхмльника,,05
Загальноосвітня школа І-ІІІ ступенів №3 м.Хмільника,0510900000,[2016],загальноосвтняшкола3ступ3мхмльника,,05
Загальноосвітня школа І-ІІІ ступенів №4 м.Хмільника,0510900000,[2016],загальноосвтняшкола3ступ4мхмльника,,05
"Комунальний заклад ""Загальноосвітня школа І-ІІІ ступенів №2 міста Хмільника Вінницької області""",0510900000,"[2021, 2022]",загальноосвтняшкола3ступ2мхмльникавницькообл,,05
"Комунальний заклад ""Навчально-виховний комплекс: загальноосвітня школа І-ІІІ ступенів-гімназія № 1""",0510900000,[2016],навчальновиховнийкомплексзагальноосвтняшкола3ступгмназя1,,05
"Барський навчально-виховний комплекс ""Загальнооосвітня школа I-III ступенів №2-гімназія"" Барської міської ради Вінницької області",0520210100,[2018],барськийнавчальновиховнийкомплексзагальнооосвтняшкола3ступ2гмназябарськомськорадивницькообл,,05
"Відокремлений структурний підрозділ ""Барський фаховий коледж транспорту та будівництва Національного транспортного університету""",0520210100,"[2021, 2022]",вдокремленийструктурнийпдроздлбарськийколеджтранспортутабудвництванацональноготранспортногоунверситету,,05
"Державний навчальний заклад ""Барський професійний будівельний ліцей""",0520210100,"[2018, 2019, 2020, 2021, 2022]",державнийнавчальнийзакладбарськийпрофесйнийбудвельнийлцей,,05
"Заклад ""Загальноосвітня школа I-III ст №1 м.Бара""",0520210100,"[2016, 2017]",закладзагальноосвтняшкола3ст1мбара,,05
"Заклад ""Загальноосвітня школа I-III ст №3 м.Бара""",0520210100,"[2016, 2017]",закладзагальноосвтняшкола3ст3мбара,,05
"Заклад ""Загальноосвітня школа I-III ст №4 м.Бара""",0520210100,"[2016, 2017]",закладзагальноосвтняшкола3ст4мбара,,05
"Заклад ""Навчально-виховний комплекс ""Загальнооосвітня школа I-III ст.№2-гімназія"" м.Бара""",0520210100,"[2016, 2017]",закладнавчальновиховнийкомплексзагальнооосвтняшкола3ступ2гмназямбара,,05
"Комунальний заклад вищої освіти ""Барський гуманітарно-педагогічний коледж імені Михайла Грушевського""",0520210100,"[2021, 2022]",вищоосвтибарськийгумантарнопедагогчнийколеджменмихайлагрушевського,,05
Обласний гуманітарний ліцей для обдарованих дітей із сільської місцевості при Барському гуманітарно-педагогічному коледжі ім. Михайла Грушевського,0520210100,[2016],обласнийгумантарнийлцейдляобдарованихдтейзсльськомсцевостприбарськомугумантарнопедагогчномуколеджменмихайлагрушевського,,05
Обласний гуманітарний ліцей-інтернат для обдарованих дітей при Барському гуманітарно-педагогічному коледжі ім. Михайла Грушевського,0520210100,"[2017, 2018, 2019, 2020]",обласнийгумантарнийлцейнтернатдляобдарованихдтейприбарськомугумантарнопедагогчномуколеджменмихайлагрушевського,,05
"Заклад ""Копайгородська загальноосвітня школа I-III ступенів імені О.С.Пушкіна""",0520255300,"[2016, 2017]",закладкопайгородськазагальноосвтняшкола3ступменоспушкна,,05
