New,Old,areaname,regname,year
с.Рішин,с.Ришин,Яворівський район,Львівська область,1989
с.Рогізно,с.Рогізне,Яворівський район,Львівська область,1989
с.Рогізно,с.Рогізна,Самбірський район,Львівська область,1990
с.Рогізно,с.Рогізне,Жидачівський район,Львівська область,1990
с.Розворяни,с.Розваряни,Золочівський район,Львівська область,1989
смт Розділ,смт Роздол,Миколаївський район,Львівська область,1990
смт Розділ,смт Роздол,Миколаївський район,Львівська область,1992
с.Розсоховата,с.Розсохувата,Іллінецький район,Вінницька область,1993
с.Рокосово,с.Рокосів,Хустський район,Закарпатська область,1995
смт Романів,смт Дзержинськ,Романівський район,Житомирська область,2003
с.Романіни,с.Романини,Славутський район,Хмельницька область,1993
с.Ромош,с.Ромаш,Сокальський район,Львівська область,1989
с.Росоховата,с.Розсоховата,Іллінецький район,Вінницька область,1993
с.Рудня,с.Рудне,Самбірський район,Львівська область,1990
с.Рулево,с.Рулеве,Яворівський район,Львівська область,1989
с.Рунгури,с.Новомарківка,Коломийський район,Івано-Франківська область,1993
с.Русивель,с.Сінне,Гощанський район,Рівненська область,1992
с.Руські Комарівці,с.Руськи Комарівці,Ужгородський район,Закарпатська область,1997
с.Лопушно,с.Лупошно,Самбірський район,Львівська область,2011
с.Сабанівка,с.Собанівка,Радехівський район,Львівська область,1989
с.Салашка,с.Сталашка,Бродівський район,Львівська область,1989
с.Самусіївка,с.Самусівка,Кременчуцький район,Полтавська область,2004
с.Сапанівчик,с.Сапановчик,Дубенський район,Рівненська область,2008
с.Сарнівка,с.Серпівка,Жовківський район,Львівська область,1990
смт Сартана,смт Приморське,м.Маріуполь,Донецька область,1992
с.Сасово,с.Сасове,Виноградівський район,Закарпатська область,1995
с.Сасово,с.Сасове,Тячівський район,Закарпатська область,1995
м.Світлодарське,смт Світлодарське,м.Дебальцеве,Донецька область,1992
с.Святець,с.Мануїльське,Теофіпольський район,Хмельницька область,1991
м.Святогірськ,м.Слов'яногірськ,м.Слов'янськ,Донецька область,2003
с.Себечів,с.Красносілля,Сокальський район,Львівська область,1989
с.Селіски,с.Селиськи,Володимир-Волинський район,Волинська область,1990
с.Семирівка,с.Семірівка,Яворівський район,Львівська область,1989
с.Сенечів,с.Семичів,Долинський район,Івано-Франківська область,1989
с.Сербинівка,с.Перше Травня,Гребінківський район,Полтавська область,1992
с.Сергієва Балка,с.Сергіїва Балка,Близнюківський район,Харківська область,2013
с.Серне,с.Рівне,Мукачівський район,Закарпатська область,1995
м.Сєвєродонецьк,м.Сєверодонецьк,м.Сєвєродонецьк,Луганська область,2008
с.Синичено,с.Синичине,Ізюмський район,Харківська область,2009
с.Синків,с.Сеньків,Радехівський район,Львівська область,1989
с.Синьків,с.Богданівка,Заліщицький район,Тернопільська область,1990
с.Сівка-Войнилівська,с.Сивка-Войнилів,Калуський район,Івано-Франківська область,1989
с.Сівка-Калуська,с.Сивка-Калуська,Калуський район,Івано-Франківська область,1989
с.Сілець,с.Селець,Сокальський район,Львівська область,1989
с.Сілець,с.Селець,Кам'янка-Бузький район,Львівська область,1990
с.Сілець,с.Силець,Тисменицький район,Івано-Франківська область,1989
с.Скіпче,с.Скипче,Городоцький район,Хмельницька область,2015
с.Слобідка,с.Славне,Козівський район,Тернопільська область,1992
с.Смереково,с.Смерекове,Великоберезнянський район,Закарпатська область,1995
м.Соледар,м.Карло-Лібкнехтівськ,м.Бахмут,Донецька область,1991
с.Соломоново,с.Соломонове,Ужгородський район,Закарпатська область,1995
смт Солотвино,смт Солотвина,Тячівський район,Закарпатська область,1995
с.Соснина,с.Соснини,Жовківський район,Львівська область,1990
с.Спас,с.Долішнє,Косівський район,Івано-Франківська область,1995
смт Станиця Луганська,смт Станично-Луганське,Станично-Луганський район,Луганська область,2007
с.Станішівка,с.Станишівка,Іванківський район,Київська область,2009
с.Станово,с.Станове,Мукачівський район,Закарпатська область,1995
с.Станькова,с.Станкова,Долинський район,Івано-Франківська область,1989
с.Старе Давидково,с.Старе Давидкове,Мукачівський район,Закарпатська область,1995
с.Старий Яр,с.Старий Ярів,Яворівський район,Львівська область,1989
с.Старі Санжари,с.Решетники,Новосанжарський район,Полтавська область,1992
с.Стебні,с.Стебнів,Верховинський район,Івано-Франківська область,1993
с.Степ,с.Червоний Пахар,Ніжинський район,Чернігівська область,2013
с.Степанки,с.Першотравневе,Барський район,Вінницька область,1993
смт Степногірськ,смт Сухоіванівське,Василівський район,Запорізька область,1987
с.Стиборівка,с.Стибирівка,Бродівський район,Львівська область,1989
с.Стирківці,с.Стерківці,Радехівський район,Львівська область,1989
с.Стільсько,с.Стільське,Миколаївський район,Львівська область,1989
с.Страбичово,с.Страбичове,Мукачівський район,Закарпатська область,1995
с.Страхолісся,с.Зелений Мис,Іванківський район,Київська область,1989
с.Стрихалюки,с.Стріхалюки,Бродівський район,Львівська область,1989
с.Струтин,с.Струтинь,Золочівський район,Львівська область,1989
с.Струтинівка,с.Струтунівка,Глобинський район,Полтавська область,1995
с.Студінка,с.Студинка,Долинський район,Івано-Франківська область,1989
с.Ступно,с.Ступне,Здолбунівський район,Рівненська область,1990
с.Сусково,с.Сускове,Свалявський район,Закарпатська область,1995
с.Сучевени,с.Широка Поляна,Глибоцький район,Чернівецька область,1995
с.Сушно,с.Сушне,Радехівський район,Львівська область,1989
с.Сьозиха,с.Слюзиха,Лохвицький район,Полтавська область,1995
с.Сюрте,с.Струмківка,Ужгородський район,Закарпатська область,1995
с.Тарасівка,с.Мала Тарасівка,Броварський район,Київська область,2014
с.Татаринів,с.Рубанівка,Городоцький район,Львівська область,1992
