New,Old,areaname,regname,year
с.Київ,с.Червоний Київ,Доманівський район,Миколаївська область,2016
м.Кипуче,м.Артемівськ,Перевальський район,Луганська область,2016
с.Кирилівка,с.Червоноармійське Друге,Вовчанський район,Харківська область,2016
с.Кисличе,с.Октябрське,м.Донецьк,Донецька область,2016
с.Кільчень,с.Радянське,Магдалинівський район,Дніпропетровська область,2016
с.Кленове,с.Жовтневе,Гайворонський район,Кіровоградська область,2016
с.Кленове,с.Пролетарське,Близнюківський район,Харківська область,2016
с.Княгининок,с.Маяки,Луцький район,Волинська область,2016
с.Княжа Долина,с.Червоний Прапор,Краснокутський район,Харківська область,2016
с.Княжа Криниця,с.Радянське,Крижопільський район,Вінницька область,2016
с.Княжа Лука,с.Улянівка,Хорольський район,Полтавська область,2016
с.Козацьке,с.Петрівське,Петрівський район,Кіровоградська область,2016
с.Козацьке,с.Комунарське,Кегичівський район,Харківська область,2016
с.Козаче,с.Леніна,Криничанський район,Дніпропетровська область,2016
с.Козирщина,с.Комінтерн,Новомосковський район,Дніпропетровська область,2016
с.Коломацьке,с.Куликове,Полтавський район,Полтавська область,2016
смт Копані,смт Войковський,Амвросіївський район,Донецька область,2016
с-ще Копилове,с-ще Жовтневе,Буринський район,Сумська область,2016
с.Коржове,с.Петрівка,Сватівський район,Луганська область,2016
с.Корнилівка,с.Кірове,Корсунь-Шевченківський район,Черкаська область,2016
с-ще Корнинське,с-ще Радгоспне,Попільнянський район,Житомирська область,2016
с.Косня,с.Червоний Плугатар,Малинський район,Житомирська область,2016
с.Костянтинопольське,с.Островського,Мар'їнський район,Донецька область,2016
с.Котівка,с.Котовського,Зачепилівський район,Харківська область,2016
с-ще Котлине,с-ще Димитрове,Покровський район,Донецька область,2016
с.Котляри,с.Комунар,Харківський район,Харківська область,2016
с.Котовка,с.Котовське,Березівський район,Одеська область,2016
с.Красівське,с.Красіне,Криворізький район,Дніпропетровська область,2016
с.Кривоносове,с.Червонозорівка,Бобринецький район,Кіровоградська область,2016
с.Крижанівка,с.Жовтневе,Ширяївський район,Одеська область,2016
смт Криничанське,смт Червоногвардійське,м.Голубівка,Луганська область,2016
с.Кринички,с.Петрівське,м.Єнакієве,Донецька область,2016
с.Криничне,с.Октябрське,Нікольський район,Донецька область,2016
смт Криничне,смт Бірюкове,Довжанський район,Луганська область,2016
м.Кропивницький,м.Кіровоград,Кропивницький район,Кіровоградська область,2016
с.Крута Балка,с.Кіровка,Криничанський район,Дніпропетровська область,2016
с.Крутеньке,с.Кірове,Томаківський район,Дніпропетровська область,2016
с.Кубей,с.Червоноармійське,Болградський район,Одеська область,2016
с.Кулішеве,с.Жовтневе,Петриківський район,Дніпропетровська область,2016
смт Кундрюче,смт Калінінський,м.Довжанськ,Луганська область,2016
с-ще Курганне,с-ще Піонер,Великобурлуцький район,Харківська область,2016
с.Курилівка,с.Жовтневе,Конотопський район,Сумська область,2016
с-ще Курортне,с-ще Комунар,Дергачівський район,Харківська область,2016
с.Куца Балка,с.Котовське,Вільшанський район,Кіровоградська область,2016
с.Кучаків,с.Кірове,Бориспільський район,Київська область,2016
с.Лавринове,с.Радянське,Бойківський район,Донецька область,2016
с-ще Лагідне,с-ще Жовтневе,Лозівський район,Харківська область,2016
с.Лагідне,с.Кірове,Токмацький район,Запорізька область,2016
с-ще Лагідне,с-ще Комсомольський,Сватівський район,Луганська область,2016
с.Ладівщина,с.Пролетарське,Прилуцький район,Чернігівська область,2016
с.Латівка,с.Котовка,Біляївський район,Одеська область,2016
с.Лебедине,с.Кірове,Кобеляцький район,Полтавська область,2016
с.Лебедине,с.Жовтневе,Устинівський район,Кіровоградська область,2016
с.Левадне,с.Цикове,Покровський район,Дніпропетровська область,2016
с.Левковичі,с.Володарка,Поліський район,Київська область,2016
с.Ленське,с.Чубівка,Смілянський район,Черкаська область,2018
с.Леонове,с.Червоний Жовтень,Антрацитівський район,Луганська область,2016
м.Лиман,м.Красний Лиман,м.Лиман,Донецька область,2016
с.Лиман,с.Жовтневе,Вовчанський район,Харківська область,2016
с.Лиманець,с.Кірове,Бериславський район,Херсонська область,2016
с.Лиманка,с.Мізікевича,Овідіопольський район,Одеська область,2016
смт Липське,смт Красний Октябр,м.Макіївка,Донецька область,2016
с.Лібенталь,с.Ленінталь,Овідіопольський район,Одеська область,2016
с.Лібухова,с.Максимівка,Старосамбірський район,Львівська область,2016
с-ще Лісне,с-ще Іллічівка,Голованівський район,Кіровоградська область,2016
с.Лісне,с.Комінтерн,Ямпільський район,Сумська область,2016
с-ще Лісове,с-ще Петрівське,Кам'янський район,Черкаська область,2016
с.Лісове,с.Червона Зірка,Бердичівський район,Житомирська область,2016
с.Лісове,с.Чапаєве,Поліський район,Київська область,2016
с.Лісове,с.Дзержинськ,Ємільчинський район,Житомирська область,2016
с.Лісове,с.Комуна,Прилуцький район,Чернігівська область,2016
с.Лісове,с.Кірове,Криворізький район,Дніпропетровська область,2016
с.Лісове,с.Ленінське,Старокостянтинівський район,Хмельницька область,2016
с.Лісове,с.Жовтневе,Волочиський район,Хмельницька область,2016
с.Лісові Хутори,с.Жовтень,Носівський район,Чернігівська область,2016
с.Літинські Хутори,с.Радянське,Літинський район,Вінницька область,2016
с.Лобівські Копальні,с.Красний Колос,м.Ровеньки,Луганська область,2016
с.Лозуватське,с.Чапаєвка,Криничанський район,Дніпропетровська область,2016
с.Лосівка,с.Пролетарське,Вовчанський район,Харківська область,2016
с.Луб'яне,с.Червоний Пахар,Семенівський район,Чернігівська область,2016
с.Лугове,с.Ленінове,Новосанжарський район,Полтавська область,2016
с.Лугове,с.Дзержинське,Сумський район,Сумська область,2016
с.Луки,с.Червоні Луки,Менський район,Чернігівська область,2016
с.Лук'янівка,с.Леніне,Баштанський район,Миколаївська область,2016
смт Любимівка,смт Дзержинський,м.Ровеньки,Луганська область,2016
с.Любівка,с.Ленінське,Старобешівський район,Донецька область,2016
с.Любомирівка,с.Право Жовтня,Згурівський район,Київська область,2016
с-ще Любомирівка,с-ще Красне Знам'я,Снігурівський район,Миколаївська область,2016
с.Мазярня-Каранська,с.Мазарня-Каранська,Кам'янка-Бузький район,Львівська область,2019
с.Майорове,с.Красний Октябр,Бойківський район,Донецька область,2016
с.Макарів Яр,с.Пархоменко,Сорокинський район,Луганська область,2016
с.Маклаївка,с.Жовтневе,Малинський район,Житомирська область,2016
с.Максимівка,с.Октябрське,Синельниківський район,Дніпропетровська область,2016
с-ще Мала Біла,с-ще Червона Зірка,Липовецький район,Вінницька область,2016
с-ще Мала Іванівка,с-ще Володарівка,Богодухівський район,Харківська область,2016
с-ще Мала Корчаківка,с-ще Радянське,Сумський район,Сумська область,2016
с.Мала Купріянівка,с.Кіровське,Вільнянський район,Запорізька область,2016
с.Мала Михайлівка,с.Білоріцьке,Веселівський район,Запорізька область,2016
с.Мала Петриківка,с.Червонопартизанське,Петриківський район,Дніпропетровська область,2016
с.Мала Черепівка,с.Черепівка,Недригайлівський район,Сумська область,2018
с-ще Мале Веселе,с-ще Радгоспне,Харківський район,Харківська область,2016
с-ще Малий Затишок,с-ще Політвідділовець,Уманський район,Черкаська область,2016
с.Малий Куяльник,с.Чапаєвка,Подільський район,Одеська область,2016
с.Малинівка,с.Чапаєвка,Семенівський район,Полтавська область,2016
с.Малинівка,с.Улянівка,Покровський район,Донецька область,2016
с.Малі Коростівці,с.Чапаєвка,Жмеринський район,Вінницька область,2016
с-ще Малі Феськи,с-ще Пролетар,Золочівський район,Харківська область,2016
с.Мальці,с.Чапаєвка,Козельщинський район,Полтавська область,2016
с.Малярщина,с.Червона Українка,Криничанський район,Дніпропетровська область,2016
с.Маморниця Вама,с.Радгоспівка,Герцаївський район,Чернівецька область,2016
с.Мамушеве,с.Красний Луч,Слов'яносербський район,Луганська область,2016
с-ще Манжиків Кут,с-ще Калініна,Старобешівський район,Донецька область,2016
с.Маракучка,с.Петрівське,Великописарівський район,Сумська область,2016
смт Марія,смт Леніна,Лутугинський район,Луганська область,2016
с.Мар'ївка,с.Карла Лібкнехта,Лутугинський район,Луганська область,2016
с-ще Мар'їне,с-ще Пролетарське,Сумський район,Сумська область,2016
с.Мармузовичі,с.Андріївка,Буський район,Львівська область,2016
с-ще Мартинівка,с-ще Халтурине,Карлівський район,Полтавська область,2016
с.Мартове,с.Благоєве,Великомихайлівський район,Одеська область,2016
с.Мар'янівка,с.Чапаєвка,Великобагачанський район,Полтавська область,2016
с.Матроска,с.Матроська,Ізмаїльський район,Одеська область,2016
с.Махнівка,с.Комсомольське,Козятинський район,Вінницька область,2016
с.Махнівка,с.Петрівка,Борзнянський район,Чернігівська область,2016
с.Махнівка,с.Красне,Вінницький район,Вінницька область,2016
с.Маяк,с.Червоний Маяк,Солонянський район,Дніпропетровська область,2016
с.Маячка,с.Октябрське,Слов'янський район,Донецька область,2016
с.Медове,с.Леніна Друге,Олександрійський район,Кіровоградська область,2016
с.Межове,с.Червоне,Солонянський район,Дніпропетровська область,2016
с.Мельникове,с.Беєве-Комуна,Липоводолинський район,Сумська область,2016
с.Мелячиха,с.Петрівське,Білопільський район,Сумська область,2016
смт Миколаївка,смт Жовтневе,Білопільський район,Сумська область,2016
с.Миколаївка,с.Крупське,Новомиргородський район,Кіровоградська область,2016
с.Миколаївка,с.Чапаєвка,Лугинський район,Житомирська область,2016
с.Миколаївка,с.Мелихівка,Нововодолазький район,Харківська область,2019
с.Миколаївка,с.Жовтневе Друге,Вовчанський район,Харківська область,2016
с.Мильники,с.Григорівка,Ніжинський район,Чернігівська область,2016
с.Мирне,с.Кіровка,Калинівський район,Вінницька область,2016
с-ще Мирне,с-ще Червоноармійське,Білокуракинський район,Луганська область,2016
с.Мирне,с.Петрівське,Близнюківський район,Харківська область,2016
с-ще Мирне,с-ще Жовтневе,Чорнобаївський район,Черкаська область,2016
с-ще Мирне,с-ще Червоноармійське,Миколаївський район,Миколаївська область,2016
с.Мирне,с.Комсомолець,Великописарівський район,Сумська область,2016
с.Мирне,с.Карла Маркса,Великоновосілківський район,Донецька область,2016
с.Мирне,с.Леніна,Добропільський район,Донецька область,2016
с-ще Мирне,с-ще Дзержинське,Слов'янський район,Донецька область,2016
с.Мирне,с.Котовське,Широківський район,Дніпропетровська область,2016
с.Мирне,с.Ленінське,Якимівський район,Запорізька область,2016
с.Мирне,с.Фрунзе,Кобеляцький район,Полтавська область,2016
с.Мирне,с.Іллічівка,Охтирський район,Сумська область,2016
с.Мирне,с.Ленінське,Лебединський район,Сумська область,2016
с-ще Мирне,с-ще Червоний Поділ,Білозерський район,Херсонська область,2016
м.Мирноград,м.Димитров,м.Мирноград,Донецька область,2016
смт Миролюбів,смт Жовтневе,Лугинський район,Житомирська область,2016
с-ще Миролюбівка,с-ще Радянське,Білозерський район,Херсонська область,2016
с.Миролюбівка,с.Жовтневе,Новомиргородський район,Кіровоградська область,2016
с.Миролюбівка,с.Кіровка,Маловисківський район,Кіровоградська область,2016
с-ще Миролюбівка,с-ще Видвиженець,Новомосковський район,Дніпропетровська область,2016
с-ще Миролюбівка,с-ще Комсомольське,Лозівський район,Харківська область,2016
с.Миронове,с.Новопетровське,Межівський район,Дніпропетровська область,2016
с.Михайлівка,с.Червоноволодимирівка,Березівський район,Одеська область,2016
с.Михайлівка,с.Улянівка,Миколаївський район,Миколаївська область,2016
с.Молодецьке,с.Леніне,Покровський район,Донецька область,2016
с.Молодіжне,с.Дзержинського,Бобровицький район,Чернігівська область,2016
с-ще Монастирське,с-ще Ударник,Бериславський район,Херсонська область,2016
с.Монастирське,с.Марксове,Немирівський район,Вінницька область,2016
с.Морозівка,с.Петрівка,Кролевецький район,Сумська область,2016
с.Морозівське,с.Пролетарське,Васильківський район,Дніпропетровська область,2016
с.Мостище,с.Петрівське,Козелецький район,Чернігівська область,2016
с.Мотовилівка,с.Червона Мотовилівка,Фастівський район,Київська область,2016
м.Мукачево,м.Мукачеве,м.Мукачево,Закарпатська область,2017
с.Мукша Китайгородська,с.Жовтневе,Кам'янець-Подільський район,Хмельницька область,2016
с.М'ясожарівка,с.Артемівка,Сватівський район,Луганська область,2016
с-ще Надіївка,с-ще Жданове,Солонянський район,Дніпропетровська область,2016
с.Надія,с.Радгоспне,Криворізький район,Дніпропетровська область,2016
с.Надія,с.Артема,Добропільський район,Донецька область,2016
с.Надросся,с.Чапаєвка,Погребищенський район,Вінницька область,2016
с.Некрите,с.Червоний Лан,Коропський район,Чернігівська область,2016
с.Нечуївка,с.Радянське,Ямпільський район,Вінницька область,2016
с-ще Нижня Шевирівка,с-ще Орджонікідзе,Сорокинський район,Луганська область,2016
смт Нікольське,смт Володарське,Нікольський район,Донецька область,2016
с.Німецька Мокра,с.Комсомольськ,Тячівський район,Закарпатська область,2016
с.Нова Гусарівка,с.Червона Гусарівка,Балаклійський район,Харківська область,2016
с.Нова Знам'янка,с.Червона Знам'янка,Кременчуцький район,Полтавська область,2016
с.Нова Козача,с.Ілліча,Дергачівський район,Харківська область,2016
с.Нова Маківка,с.Петрівське,Рокитнянський район,Київська область,2016
с.Нова Миронівка,с.П'ятирічка,Миронівський район,Київська область,2016
с-ще Нова Оленівка,с-ще Петрівське,Волноваський район,Донецька область,2016
с.Нова Ольшана,с.Жовтневе,Ічнянський район,Чернігівська область,2016
с.Нова Пляшева,с.Жовтневе,Радивилівський район,Рівненська область,2016
с.Нова Чорнорудка,с.Жовтневе,Ружинський район,Житомирська область,2016
с.Нова Шестірня,с.Петрівське,Високопільський район,Херсонська область,2016
с.Нове,с.Жовтень,Казанківський район,Миколаївська область,2016
с.Нове Шахове,с.Рози Люксембург,Добропільський район,Донецька область,2016
с.Новий Каракурт,с.Нове Жовтневе,Болградський район,Одеська область,2016
с-ще Новий Коротич,с-ще Комунар,Харківський район,Харківська область,2016
с-ще Новий Орач,с-ще Червоний Орач,Окнянський район,Одеська область,2016
с.Нові Броди,с.Червоні Партизани,Менський район,Чернігівська область,2016
с.Нові Жадьки,с.Карла Маркса,Черняхівський район,Житомирська область,2016
с.Нові Терешки,с.Жовтневе,Красилівський район,Хмельницька область,2016
с.Нові Хоменки,с.Чапаєве,Шаргородський район,Вінницька область,2016
с.Новоапостолівка,с.Чичеріне,Волноваський район,Донецька область,2016
с.Новодмитрівка Друга,с.Ленінське Друге,Роздільнянський район,Одеська область,2016
с.Новоєгорівка,с.Свердловка,Сватівський район,Луганська область,2016
с.Новожуків,с.Іскра,Рівненський район,Рівненська область,2016
с.Новозлатопіль,с.Пролетарське,Розівський район,Запорізька область,2016
с.Новоіванівка,с.Комунарка,Кегичівський район,Харківська область,2016
с.Новоіванівське,с.Жовтневе,Коломацький район,Харківська область,2016
с.Новоігорівка,с.Димитрове,Устинівський район,Кіровоградська область,2016
с.Новокальчеве,с.Червоноармійське,Березівський район,Одеська область,2016
с.Новомихайлівське,с.Жовтневе,Врадіївський район,Миколаївська область,2016
с.Новопавлівка,с.Партизани,Приморський район,Запорізька область,2016
с.Новополь,с.Ухожани,Балтський район,Одеська область,2016
с.Новопросянське,с.Комсомольське,Нововодолазький район,Харківська область,2016
с-ще Новоселівка,с-ще Комінтерн,Олександрійський район,Кіровоградська область,2016
с.Новоселівка,с.Красноармійське,Слов'янський район,Донецька область,2016
с.Новотаромське,с.Орджонікідзе,Дніпровський район,Дніпропетровська область,2016
с.Новоукраїнське,с.Пам'ять Ілліча,Апостолівський район,Дніпропетровська область,2016
с.Новоулянівка,с.Володимиро-Ульяновка,Олександрійський район,Кіровоградська область,2016
с-ще Ногайське,с-ще Жовтневе,Генічеський район,Херсонська область,2016
смт Обухівка,смт Кіровське,Дніпровський район,Дніпропетровська область,2016
с.Овчарівка,с.Червоний Маяк,Менський район,Чернігівська область,2016
с.Ожерельне,с.Ульяновка,Пологівський район,Запорізька область,2016
с-ще Озарянівка,с-ще Перше Травня,м.Торецьк,Донецька область,2016
с.Озерне,с.Іллічівка,м.Лиман,Донецька область,2016
с.Озерне,с.Артемівка,Новоодеський район,Миколаївська область,2016
смт Окни,смт Красні Окни,Окнянський район,Одеська область,2016
смт Окни,смт Красні Окни,Окнянський район,Одеська область,2016
с.Олександрівка,с.Краснознам'янка,Голопристанський район,Херсонська область,2016
с.Олександрівка,с.Птахівка,Скадовський район,Херсонська область,2016
с.Олександрівське,с.Рози Люксембург,Новоазовський район,Донецька область,2016
с.Олександрівське,с.Улянівка,Кегичівський район,Харківська область,2016
смт Олександрійське,смт Димитрове,м.Олександрія,Кіровоградська область,2016
с.Олександропіль,с.Розівка,Ясинуватський район,Донецька область,2016
с.Олексіївка,с.Щорсівка,Генічеський район,Херсонська область,2016
с.Оленокостянтинівка,с.Жовтневе,Гуляйпільський район,Запорізька область,2016
м.Олешки,м.Цюрупинськ,Олешківський район,Херсонська область,2016
с.Ольгине,с.Октябрщина,Ямпільський район,Сумська область,2016
с.Олянівка,с.Улянівка,Зачепилівський район,Харківська область,2016
с.Осиново,с.Петрівка,Куп'янський район,Харківська область,2016
с.Оскіл,с.Червоний Оскіл,Ізюмський район,Харківська область,2016
с.Остер,с.Червоний Остер,Борзнянський район,Чернігівська область,2016
с.Острів Надії,с.Кіровське,Борзнянський район,Чернігівська область,2016
с.Острівці,с.Червоне,Дубровицький район,Рівненська область,2016
с.Острови,с.Островки,Маневицький район,Волинська область,2019
с.Павлики,с.Комінтерн,Козельщинський район,Полтавська область,2016
с.Павлівка,с.Жовтневе,Чутівський район,Полтавська область,2016
с.Пазено,с.Петрівське,Бахмутський район,Донецька область,2016
с.Пальчиківка,с.Кірове,Полтавський район,Полтавська область,2016
с.Панське,с.Жовтневе,Кобеляцький район,Полтавська область,2016
с.Панський Міст,с.Чапаєвка,Монастирищенський район,Черкаська область,2016
с.Панькове,с.Дніпрельстан,Солонянський район,Дніпропетровська область,2016
с.Пасічне,с.Ленінське,Маловисківський район,Кіровоградська область,2016
с.Пеньківка,с.Свердлівка,Липовецький район,Вінницька область,2016
с.Перемога,с.Червона Перемога,Зачепилівський район,Харківська область,2016
с.Перетічки,с.Кірове,Недригайлівський район,Сумська область,2016
м.Переяслав,м.Переяслав-Хмельницький,м.Переяслав,Київська область,2019
с.Петрашівка,с.Улянівка,Полтавський район,Полтавська область,2016
с.Петрівка,с.Чапаєве,Чутівський район,Полтавська область,2016
с.Петрівка,с.Петрівське,Добропільський район,Донецька область,2016
с.Петрівка,с.Петрівське,Зачепилівський район,Харківська область,2016
с.Петрівка,с.Петрівське,Волноваський район,Донецька область,2016
с.Петрове,с.Петрівське,Біляївський район,Одеська область,2016
с.Петровірівка,с.Жовтень,Ширяївський район,Одеська область,2016
м.Петрово-Красносілля,м.Петровське,м.Хрустальний,Луганська область,2016
с-ще Петропавлівка,с-ще Комсомольське,Скадовський район,Херсонська область,2016
с.Петропавлівка,с.Петровське,Чернігівський район,Запорізька область,2016
смт Петропавлівка,смт Петрівка,Станично-Луганський район,Луганська область,2016
с.Петропавлівка,с.Фрунзе,Доманівський район,Миколаївська область,2016
с.Петропавлівське,с.Петровське,Бориспільський район,Київська область,2016
смт Південне,смт Ленінське,м.Торецьк,Донецька область,2016
с.Півневе,с.Індустріальне,Кремінський район,Луганська область,2016
смт Північне,смт Кірове,м.Торецьк,Донецька область,2016
с.Підліски,с.Ленінське,Теофіпольський район,Хмельницька область,2016
с.Пікузи,с.Комінтернове,Волноваський район,Донецька область,2016
с.Пірки,с.Комсомольське,Зіньківський район,Полтавська область,2016
с.Піщанське,с.Петрівське,Новоукраїнський район,Кіровоградська область,2016
с.Платонівка,с.Кіровка,Носівський район,Чернігівська область,2016
с.Плугатар,с.Червоний Плугатар,Широківський район,Дніпропетровська область,2016
с.Плугатар,с.Червоний Плугатар,Талалаївський район,Чернігівська область,2016
с.Погребки,с.Коротченкове,Шосткинський район,Сумська область,2016
м.Подільськ,м.Котовськ,м.Подільськ,Одеська область,2016
с.Подільське,с.Рачки,Немирівський район,Вінницька область,2019
с-ще Пойма,с-ще Цюрупинськ,Олешківський район,Херсонська область,2016
м.Покров,м.Орджонікідзе,м.Покров,Дніпропетровська область,2016
м.Покровськ,м.Красноармійськ,м.Покровськ,Донецька область,2016
с.Покровське,с.Жовтневе,Менський район,Чернігівська область,2016
с-ще Покровське,с-ще Жовтневе,Балаклійський район,Харківська область,2016
с.Покровське,с.Комсомольське,Олевський район,Житомирська область,2016
с.Покровське,с.Котовка,Гайворонський район,Кіровоградська область,2016
с.Покровське,с.Жовтневе,Лубенський район,Полтавська область,2016
с.Покровське,с.Іллічівське,Мангушський район,Донецька область,2016
с.Покровське,с.Куйбишеве,Броварський район,Київська область,2016
с.Покровське,с.Гуляницьке,Врадіївський район,Миколаївська область,2016
с.Покровське,с.Жовтневе,Токмацький район,Запорізька область,2016
с-ще Покровське,с-ще Жовтневе,Решетилівський район,Полтавська область,2016
с-ще Покровське,с-ще Жовтневе,Красноградський район,Харківська область,2016
с.Покровське,с.Куйбишеве,Шишацький район,Полтавська область,2016
с.Поліське,с.Пролетарське,Коропський район,Чернігівська область,2016
с.Полішпакове,с.Петрівське,Великомихайлівський район,Одеська область,2016
с.Полковниче,с.Петрівське,Згурівський район,Київська область,2016
с.Полковниче,с.Червоноармійське,Великобурлуцький район,Харківська область,2016
с.Польове,с.Паризька Комуна,Гребінківський район,Полтавська область,2016
с.Поляна,с.Червона Поляна,Коропський район,Чернігівська область,2016
с.Поляна,с.Червона Поляна,Ізюмський район,Харківська область,2016
с.Поминик,с.Вікторівка,Маньківський район,Черкаська область,2016
с.Пономаренки,с.Радянське,Великописарівський район,Сумська область,2016
с.Попівці,с.Жовтневе,Погребищенський район,Вінницька область,2016
с.Попова Гребля,с.Червона Гребля,Чечельницький район,Вінницька область,2016
с.Потоцьківщина,с.Комсомольське,Лохвицький район,Полтавська область,2016
с.Почаївка,с.Ульяновка,Гребінківський район,Полтавська область,2016
с.Прапор,с.Червоний Прапор,Криничанський район,Дніпропетровська область,2016
с.Преображенка,с.Червоний Чабан,Каланчацький район,Херсонська область,2016
с.Прибузьке,с.Червона Зірка,Хмельницький район,Хмельницька область,2016
с.Привільне,с.Радянське,Запорізький район,Запорізька область,2016
с-ще Привітне,с-ще Комінтерн,Чорнобаївський район,Черкаська область,2016
с.Привітне,с.Петровського,Драбівський район,Черкаська область,2016
с.Придніпрянське,с.Дзержинське,Кременчуцький район,Полтавська область,2016
с.Придніпрянське,с.Радянське,Кобеляцький район,Полтавська область,2016
с.Приміське,с.Радянська Україна,Мангушський район,Донецька область,2016
с.Приморське,с.Комісарівка,Генічеський район,Херсонська область,2016
с.Приморське,с.Новокомсомольське,Печенізький район,Харківська область,2016
с.Приморське,с.Більшовик,Голопристанський район,Херсонська область,2016
с-ще Приорільське,с-ще Пролетарське,Магдалинівський район,Дніпропетровська область,2016
с-ще Прогрес,с-ще Красний Прогрес,Середино-Будський район,Сумська область,2016
с.Промінь,с.Червоний Промінь,Снігурівський район,Миколаївська область,2016
с.Промінь,с.Червоний Промінь,Криничанський район,Дніпропетровська область,2016
смт Пулини,смт Червоноармійськ,Пулинський район,Житомирська область,2016
с.П'яннє,с.Радянське,Млинівський район,Рівненська область,2016
смт П'ятипілля,смт Пролетарське,м.Макіївка,Донецька область,2016
с-ще Радісне,с-ще Жовтнева Революція,Біляївський район,Одеська область,2016
с.Радісне,с.Комунарівка,Скадовський район,Херсонська область,2016
с.Радісне,с.Радгоспне,Полонський район,Хмельницька область,2016
с.Радісне,с.Радсело,Петриківський район,Дніпропетровська область,2016
с-ще Радісний Сад,с-ще Радсад,Миколаївський район,Миколаївська область,2016
с.Райдужне,с.Комунарівка,П'ятихатський район,Дніпропетровська область,2016
с.Райдужне,с.Оборона Рад,Новосанжарський район,Полтавська область,2016
с.Рання Зоря,с.Червона Зірка,Міловський район,Луганська область,2016
с.Ранок,с.Червоний Ранок,Коропський район,Чернігівська область,2016
с.Рачки,с.Кірове,Немирівський район,Вінницька область,2016
смт Рикове,смт Партизани,Генічеський район,Херсонська область,2016
с.Рідне,с.Іллічівка,Барвінківський район,Харківська область,2016
с.Рідне,с.Ленінка,Олешківський район,Херсонська область,2016
с.Рідне,с.Воровське,Великописарівський район,Сумська область,2016
с.Рідний Край,с.Радянське,Ізюмський район,Харківська область,2016
с.Рождественське,с.Жовтневе,Коропський район,Чернігівська область,2016
с.Роздольне,с.Ленінка,Шевченківський район,Харківська область,2016
с-ще Роздольне,с-ще Чапаєва,Чугуївський район,Харківська область,2016
с-ще Розселенець,с-ще Червоний Розселенець,Біляївський район,Одеська область,2016
с.Рокити,с.Жовтневе,Семенівський район,Полтавська область,2016
с.Романівка,с.Орджонікідзе,Поліський район,Київська область,2016
с.Романівка,с.Радянське,Бердичівський район,Житомирська область,2016
с.Романівська Буда,с.Червона Буда,Корюківський район,Чернігівська область,2016
с.Рубіжне,с.Червоний Шахтар,Лозівський район,Харківська область,2016
с.Рудня,с.Пролетарська Рудня,Ріпкинський район,Чернігівська область,2016
с.Русава,с.Русава-Радянка,Томашпільський район,Вінницька область,2016
с.Садове,с.Орджонікідзе,Гайворонський район,Кіровоградська область,2016
