regname,eotype,areaname,eoname,eolevel,eosize,teachstuff,nonteachstuff,teachstuffretage,pupils,classes,opex,opexplan,hub,budgetcode,ownership,DISO,EDRPOU,year,KOATUU_2020_reg,EDRPOU_checked,id
Вінницька область,село,Самгородоцька сільська ТГ,"Миколаївський загальноосвітній навчально-виховний комплекс І-ІІІ ступенів ""Школа-дитячий садок"" ім. Василя Земляка",I-III,,17,13,2,109,11,3521.371,6398.69,,02564000000,комунальна,7519,34377679,2020,05,34377679,миколавськийзагальноосвтнйнавчальновиховнийкомплекс3ступшколадитячийсадокменвасиляземляк
Вінницька область,село,Самгородоцька сільська ТГ,"Самгородоцький загальноосвітній навчально-виховний комплекс І-ІІІ ступенів ""Школа - дитячий садок"" Козятинського району Вінницької області",I-III,,19,19,2,145,11,5045.966,8487.307,,02564000000,комунальна,7522,13312511,2020,05,13312511,самгородоцькийзагальноосвтнйнавчальновиховнийкомплекс3ступшколадитячийсадоквницькаобл
Вінницька область,село,Козятинська міська ТГ,"Загальноосвітній навчально - виховний комплекс І - ІІІ ступенів "" Школа - гімназія - дитячий садок"" імені В.М.Підгорбунського",I-III,,34,26,3,517,22,9848.469,14496.016,,02553000000,комунальна,7513,20087948,2020,05,20087948,загальноосвтнйнавчальновиховнийкомплекс3ступшколагмназядитячийсадокменвмпдгорбунськог
Вінницька область,село,Глуховецька селищна ТГ,"Білопільський загальноосвітній навчально-виховний комплекс I-III ступенів ""Школа-дитячий садок"" Козятинського району Вінницької області",I-III,,16,16,1,81,10,2712.095,5353.1683,,02527000000,комунальна,7500,35469849,2020,05,35469849,блопльськийзагальноосвтнйнавчальновиховнийкомплекс3ступшколадитячийсадоквницькаобл
Вінницька область,село,Козятинська міська ТГ,"Козятинський загальноосвітній навчально виховний комплекс І-ІІІ супенів ""школа-дитячий садок"" №9",I-III,,27,30,1,247,21,7491.299,12098.528,опорна,02553000000,комунальна,7512,34377349,2020,05,34377349,козятинськийзагальноосвтнйнавчальновиховнийкомплекс3супенвшколадитячийсадок9
Вінницька область,село,Козятинська міська ТГ,"Флоріанівський загальнооосвітній навчально - виховний комплекс І - ІІІ ступенів ""Школа - дитячий садок""",I-III,,13,10,0,57,8,1907.486,5368.564,,02553000000,комунальна,7524,34377473,2020,05,34377473,флоранвськийзагальнооосвтнйнавчальновиховнийкомплекс3ступшколадитячийсадо
Вінницька область,місто,Крижопільська селищна ТГ,Середня загальноосвітня школа І-ІІІ ступенів №2 ім. воїна-інтернаціоналіста С.В.Гаврилюка смт Крижопіль Вінницької області,I-III,,40,31,11,557,23,14794,15895,опорна,02555000000,комунальна,11374,23107383,2020,05,23107383,середнязагальноосвтняшкола3ступ2менванантернацоналстасвгаврилюкасмткрижопльвницькаобл
Вінницька область,місто,Крижопільська селищна ТГ,середня загальноосвітня школа І-ІІІ ступенів №1 ім. Героя Радянського Союзу О.А.Бичковського смт Крижопіль Вінницька область,I-III,,56,33,11,790,31,16847,18002,опорна,02555000000,комунальна,11373,20103727,2020,05,20103727,середнязагальноосвтняшкола3ступ1менгероярадянськогосоюзуоабичковськогосмткрижопльвницькаобл
Вінницька область,село,Липовецька міська ТГ,Зозівська загальноосвітня школа І-ІІІ ст. Липовецької районної ради Вінницької області,I-III,,19,15,6,178,11,5121.934,6679.059,,02557000000,комунальна,11395,02141377,2020,05,26243817,зозвськазагальноосвтняшкола3ступлиповецькавницькаобл
Вінницька область,місто,Липовецька міська ТГ,Липовецька загальноосвітня школа І-ІІІ ст. №3 Липовецької районної ради Вінницької області,I-III,,21,18,4,147,11,5176.822,6577.995,,02557000000,комунальна,11400,21727539,2020,05,21727539,липовецьказагальноосвтняшкола3ступ3липовецькавницькаобл
Вінницька область,місто,Липовецька міська ТГ,"Опорний заклад ""Липовецька загальноосвітня школа І-ІІІ ст. №2 Липовецької районної ради Вінницької області""",I-III,,52,33,8,635,29,13235.216,17420.692,опорна,02557000000,комунальна,11399,21724110,2020,05,21724110,опорнийзакладлиповецьказагальноосвтняшкола3ступ2липовецькавницькаобл
Вінницька область,село,Турбівська селищна ТГ,"Козинецька загальноосвітня школа I-III ст. Липовецької районної ради Вінницької області_x000D_
",I-III,,14,10,2,71,9,2814.068,4305.912,,02568000000,комунальна,11397,26243711,2020,05,26243711,козинецьказагальноосвтняшкола3ступлиповецькавницькаоблх000
Вінницька область,місто,Турбівська селищна ТГ,Турбівська загальноосвітня школа І-ІІІ ст. №1 Липовецької районної ради Вінницької області,I-III,,34,20,4,397,19,8180.843,11379.362,,02568000000,комунальна,11404,21724104,2020,05,21724104,турбвськазагальноосвтняшкола3ступ1липовецькавницькаобл
Вінницька область,село,Липовецька міська ТГ,Іваньківська загальноосвітня школа І-ІІІ ст. Липовецької районної ради Вінницької області,I-III,,13,12,1,55,6,2730.764,3695.085,,02557000000,комунальна,11396,26245495,2020,05,26245495,ваньквськазагальноосвтняшкола3ступлиповецькавницькаобл
Вінницька область,село,Липовецька міська ТГ,Білозерівська загальноосвітня школа І-ІІІ ст. Липовецької районної ради Вінницької області,I-III,,16,9,1,82,9,3738.22,4835.685,,02557000000,комунальна,11393,26243763,2020,05,26243763,блозервськазагальноосвтняшкола3ступлиповецькавницькаобл
Вінницька область,місто,Липовецька міська ТГ,"КОЗО ""Липовецька загальноосвітня школа І - ІІІ ст.№1 імені Василя Липківського Липовецької районної ради Вінницької області""",I-III,,35,36,2,429,22,13132.06,17521.573,опорна,02557000000,комунальна,11398,41865886,2020,05,41865886,козолиповецьказагальноосвтняшкола3ступ1менвасилялипквськоголиповецькавницькаобл
Вінницька область,село,Липовецька міська ТГ,"Опорний заклад ""Лукашівська загальноосвітня школа І-ІІІ ступенів "" Липовецької районної ради Вінницької області",I-III,,16,15,0,85,9,3859.335,5035.919,опорна,02557000000,комунальна,11401,26243830,2020,05,26243830,опорнийзакладлукашвськазагальноосвтняшкола3ступлиповецькавницькаобл
Вінницька область,село,Турбівська селищна ТГ,Вахнівська загальноосвітня школа І-ІІІ ст.Липовецької районної ради Вінницької області,I-III,,20,18,0,216,13,5648.746,7821.836,,02568000000,комунальна,11394,26243898,2020,05,26243898,вахнвськазагальноосвтняшкола3ступлиповецькавницькаобл
Вінницька область,село,Літинська селищна ТГ,Навчально-виховний комплекс (середня загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад) села Бірків Літинського району Вінницької області,I-III,,17,17,6,75,11,3969.8,5543.9,,02541000000,комунальна,8006,26228568,2020,05,26228568,навчальновиховнийкомплекссбркввницькаобл
Вінницька область,село,Літинська селищна ТГ,Дяковецький навчально-виховний комплекс (середня загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад) ім. М.П.Стельмаха Літинського району Вінницької області,I-III,,19,20,4,103,11,5665.2,6364.5,,02541000000,комунальна,7986,26234557,2020,05,26234557,дяковецькийнавчальновиховнийкомплексменмпстельмахавницькаобл
Вінницька область,село,Літинська селищна ТГ,Опорний заклад середньої загальної освіти І-ІІІст. с.Багринівці Літинської районної ради,I-III,,38,32,6,260,19,11076.2,12573.7,опорна,02541000000,комунальна,7982,02141383,2020,05,26244432,опорнийзакладсередньазагальнаосвти3ступсбагринвцлтинськао
Вінницька область,село,Літинська селищна ТГ,Навчально - виховний коплекс ( середня загальноосвітня школа І -ІІІ ст. - дошкільний навчальний заклад) с. Громадське,I-III,,16,20,1,70,10,4048.1,5162.4,,02541000000,комунальна,8004,26243065,2020,05,26243065,навчальновиховнийкоплекссгромадськ
Вінницька область,село,Вендичанська селищна ТГ,"Кукавська середня загальноосвітня школа І-ІІІ ступенів ім. В.А.Тропініна_x000D_
Могилів-Подільського району_x000D_
Вінницької області",I-III,,16,10,3,75,9,3818.914,4599.225,,02549000000,комунальна,7161,26176432,2020,05,26176432,кукавськасереднязагальноосвтняшкола3ступменватропннах000dмогилвподльськогоух000dвницькаобл
Вінницька область,село,Могилів-Подільська міська ТГ,Озаринецька середня загальноосвітня школа І - ІІІ ступенів Могилів - Подільського району Вінницької області,I-III,,18,22,2,125,11,5543.5,6049.3,,02558000000,комунальна,7162,26220437,2020,05,26220437,озаринецькасереднязагальноосвтняшкола3ступмогилввницькаобл
Вінницька область,село,Яришівська Сільська ТГ,Козлівська середня загальноосвітня школа І-ІІІ ступенів Могилів-Подільського району,I-III,,11,5,1,45,7,2662.863,3228.508,,02574000000,комунальна,7146,26220064,2020,05,26220064,козлвськасереднязагальноосвтняшкола3ступен
Вінницька область,село,Могилів-Подільська міська ТГ,"Слободо - Шлишковецький навчально - виховний комплекс ""дошкільний навчальний заклад -середня загальноосвітня школа І-ІІІ ступенів Могилів - Подільського району Вінницької області",I-III,,19,17,1,141,11,4535.2,5508.2,,02558000000,комунальна,7189,20096930,2020,05,20096930,слободошлишковецькийнавчальновиховнийкомплексдошкльнийнавчальнийзакладсереднязагальноосвтняшкола3ступмогилввницькаобл
Вінницька область,село,Мурованокуриловецька селищна ТГ,"Навчально-виховний комплекс ""Загальноосвітній навчальний заклад - дошкільний навчальний заклад"" с. Наддністрянське _x000D_
Мурованокуриловецького району Вінницької області",I-III,,15,14,5,59,8,2992.3,3218.4,,02559000000,комунальна,6593,36401687,2020,05,26336217,навчальновиховнийкомплексзагальноосвтнйнавчальнийзакладдошкльнийнавчальнийзакладснадднстрянськех000dвницькаобл
Вінницька область,село,Мурованокуриловецька селищна ТГ,Середня загальноосвітня школа І-ІІІ ступенів с.Вищеольчедаїв Мурованокуриловецького району Вінницької області,I-III,,17,21,4,185,11,4868.5,5333.1,,02559000000,комунальна,6585,02141408,2020,05,25504061,середнязагальноосвтняшкола3ступсвищеольчедаввницькаобл
Вінницька область,місто,Піщанська селищна ТГ,"Піщанський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ст. - ліцей"" смт. Піщанська, Піщанського району, Вінницької області",I-III,,28,15,6,273,15,7308.5,8549.5,,02562000000,комунальна,11422,38460152,2020,05,38460152,пщанськийнавчальновиховнийкомплексзагальноосвтняшкола3ступлцейсмтпщанськавницькаобл
Вінницька область,село,Студенянська сільська ТГ,Загальносвітня школа І-ІІІ ступенів с. Трибусівка,I-III,,15,9,3,65,8,4127.512,4438.185,,02502000000,комунальна,11790,35150591,2020,05,35150591,загальноосвтняшкола3ступстрибусвк
Вінницька область,село,Піщанська селищна ТГ,"загальноосвітня школа І-ІІІ ступенів села Яворівки_x000D_
Вінницької області Піщанського району",I-III,,12,6,0,52,6,2935.7,3629.9,,02562000000,комунальна,11753,35150633,2020,05,35150633,загальноосвтняшкола3ступсяворвких000dвницькаобл
Вінницька область,село,Погребищенська міська ТГ,"Комунальний заклад «Гопчицька загальноосвітня школа І-ІІІ ступенів _x000D_
Погребищенської районної ради Вінницької області»",I-III,,18,11,2,152,11,4256,5138,,02563000000,комунальна,6189,26176601,2020,05,26176601,гопчицьказагальноосвтняшкола3ступх000dпогребищенськавницькаобл
Вінницька область,село,Погребищенська міська ТГ,"Комунальний заклад «Погребищенська загальноосвітня школа № 4 І-ІІІ ступенів Погребищенської районної Ради Вінницької області»_x000D_
",I-III,,14,9,1,58,7,3405.441,4163,,02563000000,комунальна,6187,26219865,2020,05,26219865,погребищенськазагальноосвтняшкола43ступпогребищенськарадивницькаоблх000
Вінницька область,місто,Тиврівська селищна ТГ,Опорний заклад загальної середньої освіти І-ІІІ ст. смт.Тиврів,I-III,,36,31,7,489,23,16379.6,22655.8,опорна,02567000000,комунальна,8013,21723955,2020,05,21723955,опорний3ступсмттивр
Вінницька область,місто,Сутисківська селищна ТГ,Загальноосвітня школа І-ІІІ ступенів смт. Сутиски,I-III,,38,24,7,407,21,10193.308,12052.776,,02543000000,комунальна,8019,21724156,2020,05,21724156,загальноосвтняшкола3ступсмтсутиск
Вінницька область,село,Тиврівська селищна ТГ,Загальноосвітня школа І-ІІІ ступенів с. Строїнці,I-III,,14,16,2,168,11,4674.4,6250.9,,02567000000,комунальна,8036,26234014,2020,05,26234014,загальноосвтняшкола3ступсстранц
Вінницька область,село,Гніванська міська ТГ,Загальноосвітня школа I-III ступенів с.Селище,I-III,,22,15,1,240,13,6383.8,8413.4,,02533000000,комунальна,8018,21727077,2020,05,21727077,загальноосвтняшкола3ступсселищ
Вінницька область,село,Тростянецька селищна ТГ,Олександрівська середня загальноосвітня школа І-ІІІ ступенів,I-III,,17,20,1,149,11,6020.021,7604.662,,02535000000,комунальна,7120,26222991,2020,05,26222991,олександрвськасереднязагальноосвтняшкола3ступен
Вінницька область,місто,Тульчинська міська ТГ,Кирнасівська загальноосвітня школа І-ІІІ ступенів Тульчинської районної ради Вінницькиї області,I-III,,33,23,9,392,20,9175.7,12150.2,,02507000000,комунальна,6432,21723990,2020,05,21723990,кирнасвськазагальноосвтняшкола3ступтульчинськавницькиобл
Вінницька область,село,Уланівська сільська ТГ,опорна загальноосвітня школа І-ІІІ ступенів с.Уланів,I-III,,80,46,14,556,44,18219,21878.7,опорна,02569000000,комунальна,8297,20087813,2020,05,20087813,опорназагальноосвтняшкола3ступсулан
Вінницька область,село,Уланівська сільська ТГ,"Комунальний заклад ""Опорний заклад загальної середньої освіти І-ІІІ ступенів с.Сальниця""",I-III,,46,41,7,289,25,11169,13075.5,опорна,02569000000,комунальна,8294,43306032,2020,05,43306032,опорний3ступссальниц
