regname,eotype,areaname,eoname,eolevel,eosize,teachstuff,nonteachstuff,teachstuffretage,pupils,pupilswithpreschool,classes,opex,opexplan,hub,budgetcode,ownership,DISO,EDRPOU,year,KOATUU_2020_reg,EDRPOU_checked,id
Вінницька область,село,Липовецький район,Зозівська загальноосвітня школа І-ІІІ ст. Липовецької районної ради Вінницької області,I-III,,22,18,5,174,174,10,4798.8,5075.6,ні,2310200000,комунальна,11395,02141377,2019,05,26243817,зозвськазагальноосвтняшкола3ступлиповецькавницькаобл
Вінницька область,місто,Липовецький район,Липовецька загальноосвітня школа І - ІІІ ст.№1 імені Василя Липківського Липовецької районної ради Вінницької області,I-III,,44,28,5,363,363,19,8757.4,13128.3,ні,2310200000,комунальна,11398,41865886,2019,05,41865886,липовецьказагальноосвтняшкола3ступ1менвасилялипквськоголиповецькавницькаобл
Вінницька область,село,Літинський район,Середня загальноосвітня школа І-ІІІ ст. с. Пеньківка Літинської районної ради Вінницької області,I-III,,21,14,2,186,186,11,4752.25,4880.527,ні,2311200000,комунальна,7993,26228539,2019,05,26228539,середнязагальноосвтняшкола3ступспеньквкалтинськавницькаобл
Вінницька область,село,Мурованокуриловецький район,Середня загальноосвітня школа І-ІІІ ступенів с.Вищеольчедаїв Мурованокурилдовецького району Вінницької області,I-III,,23,15,4,184,184,11,5019.8,5044.2,ні,2313200000,комунальна,6585,02141408,2019,05,25504061,середнязагальноосвтняшкола3ступсвищеольчедаввницькаобл
Вінницька область,місто,Піщанський район,"Піщанський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ст. - ліцей"" смт. Піщанка, Піщанського району, Вінницької області",I-III,,32,16,5,277,277,15,7016.5,6640.3,ні,2316200000,комунальна,11422,38460152,2019,05,38460152,пщанськийнавчальновиховнийкомплексзагальноосвтняшкола3ступлцейсмтпщанкавницькаобл
Вінницька область,село,Тиврівський район,Краснянська середня загальноосвітня школа І-ІІІ ступенів,I-III,,21,17,3,227,227,11,4983,5471.1,ні,2319200000,комунальна,8017,26233991,2019,05,26233991,краснянськасереднязагальноосвтняшкола3ступен
Вінницька область,село,Томашпільський район,Комаргородська загальноосвітня школа І-ІІІ ступенів Томашпільського району Вінницької області,I-III,,23,14,5,167,167,11,5246.7,5253,ні,2320200000,комунальна,6949,26223097,2019,05,26223097,комаргородськазагальноосвтняшкола3ступвницькаобл
Вінницька область,село,Тростянецький район,Савинецька середня загальноосвітня школа І - ІІІ ступенів с.Савинці Тростянецького району Вінницької області,I-III,,20,16,4,104,104,10,4467.745,4726.661,ні,2321200000,комунальна,7132,26227770,2019,05,26227770,савинецькасереднязагальноосвтняшкола3ступссавинцвницькаобл
Вінницька область,село,Тульчинський район,"Печерська загальноосвітня школа І-ІІІ ступенів _x000D_
Тульчинської районної ради Вінницької області",I-III,,21,10,3,113,113,11,4032.7,4398.6,ні,2322200000,комунальна,6458,21723228,2019,05,21723228,печерськазагальноосвтняшкола3ступх000dтульчинськавницькаобл
Вінницька область,село,Хмільницький район,"Комунальний заклад ""Опорний заклад загальної середньої освіти І-ІІІ ступенів с.Сальниця""",I-III,,21,26,2,182,242,11,5659.5,5998.200000000001,ні,2323200000,комунальна,8294,26223737,2019,05,43306032,опорний3ступссальниц
